optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,50,1024,True,True,relu,True,True,sigmoid,44,18,relu,relu,0.1,0.001,70,52,1.736721396446228,0.4957490861415863,0.4937500953674316,0.99296373128891,1.7367489337921145,0.4957181513309479,0.4936631917953491,0.9937366247177124
sgd,3,0.001,50,512,False,False,relu,True,True,sigmoid,48,21,relu,tanh,0.01,0.0,30,36,50.81437301635742,0.5355269312858582,0.524957001209259,0.5924981832504272,50.81486129760742,0.5365306735038757,0.5266047716140747,0.5911359190940857
adam,3,0.01,50,512,True,True,relu,True,False,sigmoid,26,3,softmax,softmax,0.0001,0.0,30,48,,,,,,,,
adam,3,0.001,50,1024,True,False,relu,False,True,sigmoid,54,18,sigmoid,linear,0.01,0.0001,60,52,1.433166265487671,0.5195025205612183,0.5059642195701599,0.9893160462379456,1.45264732837677,0.5148738026618958,0.503446102142334,0.9819737076759338
sgd,3,0.01,50,512,True,True,sigmoid,False,False,sigmoid,34,12,sigmoid,linear,0.01,0.01,20,40,0.6931669116020203,0.50201016664505,0.4960659444332123,0.7691394090652466,0.6932327747344971,0.5062210559844971,0.4994281232357025,0.7690050005912781
sgd,3,0.001,50,128,True,True,relu,False,True,sigmoid,26,12,relu,tanh,0.01,0.01,50,50,0.793040931224823,0.5708664655685425,0.5390985012054443,0.8814665079116821,0.7952871918678284,0.5730823874473572,0.5408325791358948,0.8807154297828674
sgd,3,0.01,50,128,True,False,relu,True,False,sigmoid,30,12,softmax,linear,0.001,0.01,50,44,1.0904767513275146,0.5080539584159851,0.0,0.0,1.0902462005615234,0.507599413394928,0.0,0.0
rmsprop,3,0.001,50,512,True,False,relu,False,False,sigmoid,48,1,softmax,linear,0.1,0.01,40,36,0.6730654239654541,0.5740904211997986,0.5527482032775879,0.7014756798744202,0.6809172630310059,0.5604022145271301,0.5430038571357727,0.6828588247299194
rmsprop,3,0.001,50,512,False,True,relu,False,True,sigmoid,32,33,relu,linear,0.0001,0.001,30,52,2.277214765548706,0.5076271891593933,0.0,0.0,2.2771809101104736,0.5070891380310059,0.0,0.0
adam,3,0.01,50,512,True,False,relu,False,False,sigmoid,26,24,sigmoid,softmax,0.0001,0.001,50,46,,,,,,,,
sgd,3,0.01,50,512,False,False,relu,True,True,sigmoid,40,27,relu,tanh,0.001,0.01,40,42,15.109291076660156,0.5078837871551514,0.0,0.0,15.109356880187988,0.5070891380310059,0.0,0.0
