optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.1,100,256,True,True,relu,True,True,sigmoid,42,9,relu,linear,0.001,0.0001,20,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,False,True,tanh,False,True,sigmoid,44,15,relu,relu,0.01,0.1,60,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,512,False,True,relu,True,True,sigmoid,38,3,sigmoid,linear,0.001,0.01,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,128,True,False,softmax,False,True,sigmoid,28,12,linear,relu,0.0001,0.01,40,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,1024,True,False,softmax,True,True,sigmoid,24,18,relu,linear,0.01,0.1,20,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,1024,False,True,tanh,True,True,sigmoid,32,3,relu,linear,0.001,0,30,40,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,1024,False,True,tanh,True,True,sigmoid,30,12,linear,softmax,0.01,0.1,20,36,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,512,True,True,relu,True,False,sigmoid,38,6,softmax,sigmoid,0.1,0,40,30,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,256,False,False,tanh,True,True,sigmoid,32,6,softmax,softmax,0.001,0.01,50,38,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,512,True,True,relu,True,True,sigmoid,36,3,relu,relu,0,0.001,30,28,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,256,True,True,tanh,True,False,sigmoid,36,6,tanh,relu,0,0.01,60,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,128,True,True,relu,True,False,sigmoid,38,18,softmax,tanh,0,0.1,30,32,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,128,True,True,relu,True,True,sigmoid,38,3,tanh,linear,0.01,0.1,40,40,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,256,False,True,softmax,False,True,sigmoid,28,1,relu,relu,0,0,60,28,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,1024,True,True,sigmoid,False,False,sigmoid,32,12,relu,tanh,0.1,0,30,36,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,1024,True,True,sigmoid,True,False,sigmoid,40,15,relu,linear,0.01,0.001,30,28,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,1024,True,True,tanh,True,False,sigmoid,30,1,softmax,relu,0.01,0.1,60,36,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,1024,False,False,relu,True,True,sigmoid,26,3,sigmoid,tanh,0.01,0.1,60,36,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,512,False,True,sigmoid,False,True,sigmoid,44,12,tanh,relu,0.01,0.0001,30,34,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,256,True,True,tanh,True,True,sigmoid,24,18,linear,tanh,0.1,0.1,40,40,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,128,True,True,sigmoid,True,True,sigmoid,26,3,tanh,softmax,0,0,40,32,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,128,True,True,relu,False,True,sigmoid,32,15,softmax,linear,0.0001,0,60,40,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,1024,False,True,tanh,True,True,sigmoid,40,18,sigmoid,sigmoid,0.01,0,60,30,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,128,True,True,tanh,True,True,sigmoid,40,3,linear,tanh,0.1,0.0001,30,38,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,256,True,False,tanh,False,True,sigmoid,28,18,linear,sigmoid,0.001,0.01,30,38,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,1024,False,True,sigmoid,True,True,sigmoid,28,3,linear,sigmoid,0.01,0.001,30,32,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,1024,False,True,softmax,True,True,sigmoid,40,12,tanh,linear,0.001,0.0001,20,38,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,256,True,True,softmax,True,False,sigmoid,26,9,tanh,tanh,0,0.0001,50,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,1024,True,True,tanh,False,True,sigmoid,36,9,relu,linear,0.0001,0.0001,40,38,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,512,True,False,sigmoid,True,True,sigmoid,26,15,linear,tanh,0.01,0.01,60,28,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,1024,True,False,tanh,True,True,sigmoid,36,15,tanh,softmax,0.01,0,20,34,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,256,True,False,sigmoid,True,False,sigmoid,36,18,relu,softmax,0,0.001,20,42,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,1024,True,True,sigmoid,True,True,sigmoid,40,12,softmax,sigmoid,0.1,0.01,30,30,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,128,True,True,sigmoid,True,True,sigmoid,38,18,tanh,linear,0.1,0.1,50,42,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,512,True,True,tanh,True,False,sigmoid,42,9,tanh,tanh,0,0.1,60,26,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,256,True,True,relu,True,True,sigmoid,38,6,linear,softmax,0.1,0.01,40,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,512,False,False,relu,True,False,sigmoid,38,1,relu,softmax,0.01,0.01,20,36,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,512,True,False,softmax,True,True,sigmoid,42,12,tanh,linear,0.1,0.0001,60,42,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,1024,True,False,relu,True,False,sigmoid,32,1,softmax,softmax,0,0.1,20,30,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,256,True,True,relu,False,True,sigmoid,24,1,relu,softmax,0.001,0.1,40,34,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,256,False,False,sigmoid,True,True,sigmoid,30,18,softmax,tanh,0,0.01,50,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,128,False,True,sigmoid,False,True,sigmoid,24,18,tanh,linear,0,0.0001,50,32,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,128,True,True,softmax,True,False,sigmoid,32,3,sigmoid,relu,0.0001,0.01,30,28,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.01,100,128,False,False,softmax,True,True,sigmoid,38,6,linear,linear,0,0.001,30,28,nan,nan,nan,nan,nan,nan,nan,nan
