optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,3,0.0005,100,512,False,True,tanh,True,True,sigmoid,30,1,linear,tanh,0.001,0.0,30,30,0.643003821373,0.939311265945,0.627318322659,0.264895349741,0.66237026453,0.92413008213,0.623779296875,0.265139102936
sgd,3,0.1,100,512,False,False,sigmoid,True,True,sigmoid,38,3,sigmoid,linear,0.001,0.1,50,26,6403.94482422,0.495585620403,0.495585620403,1.0,6403.94873047,0.497233062983,0.497233062983,1.0
sgd,3,0.1,100,512,False,True,softmax,False,True,sigmoid,40,12,sigmoid,tanh,0.0001,0.0,40,26,0.890802919865,0.495649129152,0.495649129152,1.0,0.890407383442,0.497233062983,0.497233062983,1.0
sgd,3,0.01,100,256,True,False,tanh,False,True,sigmoid,38,6,sigmoid,sigmoid,0.0001,0.0001,20,36,4.6331205368,0.98171544075,0.65343940258,0.306274831295,4.63822889328,0.977900564671,0.653698980808,0.311669588089
sgd,3,0.01,100,128,False,False,softmax,True,True,sigmoid,32,3,relu,sigmoid,0.0,0.1,30,30,523.699768066,0.0,0.504452943802,0.0,523.697875977,0.0,0.501993000507,0.0
adam,3,0.1,100,256,True,False,relu,True,True,sigmoid,36,9,sigmoid,softmax,0.0,0.001,40,28,186.473022461,0.495347440243,0.495347440243,1.0,186.460067749,0.498007029295,0.498007029295,1.0
adam,3,0.001,100,256,False,False,relu,True,True,sigmoid,36,9,tanh,sigmoid,0.001,0.1,20,30,114.319992065,0.49523627758,0.49523627758,1.0,114.319755554,0.498007029295,0.498007029295,1.0
adam,3,0.001,100,256,True,True,softmax,True,True,sigmoid,34,1,relu,tanh,0.0001,0.0001,50,30,0.61743503809,0.636882901192,0.683101475239,0.839269697666,0.626424074173,0.635061323643,0.67936861515,0.837361931801
rmsprop,3,0.001,100,256,True,True,relu,True,False,sigmoid,24,12,sigmoid,tanh,0.001,0.1,40,32,30.8888072968,0.49523627758,0.49523627758,1.0,30.8827991486,0.498007029295,0.498007029295,1.0
adam,3,0.01,100,1024,True,True,relu,True,False,sigmoid,34,3,sigmoid,tanh,0.1,0.1,40,28,97.7109146118,0.514893591404,0.530497550964,0.929177582264,97.722114563,0.512764215469,0.52547198534,0.917184948921
sgd,3,0.1,100,128,True,True,sigmoid,False,True,sigmoid,40,9,relu,sigmoid,0.0,0.0001,20,32,2.0148191452,0.495510488749,0.495626270771,0.999136328697,2.01103711128,0.498045772314,0.498086720705,0.999519765377
sgd,3,0.001,100,1024,False,True,sigmoid,True,True,sigmoid,40,12,sigmoid,tanh,0.0,0.0,30,30,0.695304512978,0.495405346155,0.495405346155,1.0,0.695068359375,0.497233062983,0.497233062983,1.0
adam,3,0.001,100,128,False,False,tanh,True,True,sigmoid,32,3,sigmoid,softmax,0.001,0.0001,20,32,0.786560893059,0.0,0.504452943802,0.0,0.786728620529,0.0,0.501993000507,0.0
sgd,3,0.1,100,256,False,True,sigmoid,False,True,sigmoid,42,9,sigmoid,linear,0.0001,0.0001,40,30,3.16782140732,0.495424926281,0.495347440243,0.999423146248,3.16475653648,0.497926980257,0.49784758687,0.999679863453
rmsprop,3,0.01,100,512,True,False,sigmoid,True,True,sigmoid,42,1,linear,tanh,0.0,0.0001,20,34,2.90071320534,0.764950156212,0.731500864029,0.661271691322,2.8981294632,0.767133653164,0.732421875,0.663175106049
sgd,3,0.01,100,512,False,True,tanh,False,False,sigmoid,38,3,tanh,tanh,0.001,0.1,30,32,0.737574636936,0.495568335056,0.495569735765,0.99967956543,0.736633300781,0.497192144394,0.497151702642,0.999836325645
sgd,3,0.001,100,128,True,True,softmax,True,False,sigmoid,24,6,tanh,sigmoid,0.001,0.0,20,34,0.927145600319,0.0,0.504690647125,0.0,0.927204668522,0.0,0.501913249493,0.0
rmsprop,3,0.1,100,128,False,True,relu,False,False,sigmoid,30,9,linear,tanh,0.0,0.0001,50,34,0.696704030037,0.495515346527,0.495515346527,1.0,0.696348845959,0.498007029295,0.498007029295,1.0
rmsprop,3,0.01,100,512,True,False,tanh,True,False,sigmoid,32,1,sigmoid,sigmoid,0.1,0.0,40,26,0.531208336353,0.983778834343,0.722672104836,0.447312712669,0.540140807629,0.985564768314,0.72176104784,0.446972191334
sgd,3,0.0005,100,1024,True,False,sigmoid,True,False,sigmoid,36,12,sigmoid,sigmoid,0.001,0.1,20,34,3.00654506683,0.0,0.504418551922,0.0,3.00661277771,0.0,0.502766907215,0.0
rmsprop,3,0.01,100,128,False,True,relu,False,True,sigmoid,32,9,tanh,sigmoid,0.001,0.0001,20,32,1.13978266716,0.495483636856,0.495483636856,1.0,1.1386693716,0.498007029295,0.498007029295,1.0
sgd,3,0.01,100,256,True,True,tanh,True,True,sigmoid,24,3,sigmoid,linear,0.0001,0.0,40,32,0.749096333981,0.495251268148,0.495252162218,0.999807596207,0.748874366283,0.498046725988,0.498086720705,1.0
sgd,3,0.001,100,256,True,True,tanh,False,False,sigmoid,26,12,softmax,linear,0.0001,0.1,50,30,0.693275988102,0.879084944725,0.512099862099,0.0172491185367,0.693259716034,0.921875,0.510602653027,0.0188890658319
rmsprop,3,0.0005,100,256,True,False,sigmoid,False,True,sigmoid,36,6,linear,linear,0.0001,0.0001,30,28,1.9145745039,0.495186954737,0.495204508305,0.999679327011,1.9101806879,0.49788659811,0.497767865658,0.999359667301
sgd,3,0.1,100,256,True,False,softmax,False,True,sigmoid,34,9,softmax,relu,0.0,0.0001,40,26,0.701634705067,0.0,0.504477918148,0.0,0.701723456383,0.0,0.501993000507,0.0
