optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,2,0.01,50,64,False,200,same,sigmoid,0.2,0.3,44,16,0.1,"[1, 2]",relu,1.66521668434,0.57063215971,0.53980499506,0.855737686157,1.66462743282,0.561219274998,0.532266020775,0.844904363155
sgd,1,0.001,50,64,True,210,same,sigmoid,0.01,0.2,30,38,0,[1],tanh,0.852916955948,0.532451927662,0.519028484821,0.664880335331,0.85166400671,0.537781774998,0.522249221802,0.674327492714
sgd,1,0.1,50,64,True,100,same,sigmoid,0.001,0.001,24,78,0.001,[1],tanh,0.680436491966,0.567282140255,0.541419386864,0.782979607582,0.679144799709,0.567366838455,0.539952874184,0.780308961868
sgd,4,0.1,50,256,False,190,same,sigmoid,0.01,0.1,78,14,0.01,"[1, 4, 8, 8]",tanh,4.34437704086,0.508968949318,0.0,0.0,4.34430265427,0.509895861149,0.0,0.0
sgd,2,0.01,50,128,False,160,same,sigmoid,0.3,0.01,74,52,0.001,"[1, 1]",relu,0.754686176777,0.549769461155,0.522676587105,0.965387821198,0.753634691238,0.548539996147,0.520859837532,0.964136123657
sgd,2,0.0001,50,128,False,110,same,sigmoid,0.01,0.2,88,54,0.3,"[1, 4]",sigmoid,0.769343912601,0.508785843849,0.0,0.0,0.769343912601,0.508196771145,0.0,0.0
sgd,2,0.1,50,256,True,200,same,sigmoid,0.3,0.2,46,38,0.001,"[1, 0.5]",relu,142.061050415,0.56591796875,0.533548116684,0.94206982851,142.060470581,0.567447960377,0.531988084316,0.949066698551
rmsprop,4,0.01,50,128,False,210,same,sigmoid,0.2,0.01,48,42,0,"[1, 4, 8, 8]",sigmoid,2.33585762978,0.508376002312,0.0,0.0,2.33574008942,0.511014401913,0.0,0.0
sgd,3,0.0001,50,64,True,250,same,sigmoid,0.1,0.0001,14,52,0.1,"[1, 1, 1]",relu,11.6213178635,0.504040539265,0.497663766146,0.913932085037,11.6211290359,0.508580982685,0.498938411474,0.922291994095
sgd,2,0.01,50,128,False,140,same,sigmoid,0.001,0.3,60,46,0.01,"[1, 0.5]",relu,118.611885071,0.543186485767,0.532915472984,0.571629583836,118.612579346,0.549564599991,0.536330461502,0.578354299068
sgd,4,0.01,50,128,False,120,same,sigmoid,0.3,0.1,86,58,0.2,"[1, 0.5, 0.25, 0.25]",relu,379.403625488,0.523539960384,0.531693577766,0.255759388208,379.404022217,0.525999009609,0.53637355566,0.257627129555
rmsprop,1,0.1,50,64,True,120,same,sigmoid,0.3,0.001,12,60,0.3,[1],tanh,0.706531643867,0.508592486382,0.0,0.0,0.709803462029,0.499615818262,0.0,0.0
rmsprop,1,0.001,50,64,False,110,same,sigmoid,0.0001,0.001,92,52,0.2,[1],tanh,0.716310858727,0.545340657234,0.523124933243,0.846386015415,0.715799033642,0.550973415375,0.532126247883,0.85001283884
sgd,5,0.1,50,256,True,270,same,sigmoid,0.001,0.001,14,40,0,"[1, 0.5, 0.25, 0.25, 0.5]",relu,0.798677384853,0.561960339546,0.530883669853,0.933162510395,0.799217164516,0.555729210377,0.525222122669,0.930878043175
sgd,5,0.1,50,64,False,290,same,sigmoid,0.001,0.3,78,66,0.001,"[1, 1, 1, 1, 1]",relu,5399.47705078,0.508694767952,1.0,0.000936037453357,5399.46386719,0.500256180763,1.0,0.00179073936306
rmsprop,1,0.001,50,256,False,150,same,sigmoid,0.0001,0.001,86,24,0.1,[1],sigmoid,0.697275400162,0.50927734375,0.0,0.0,0.698719978333,0.498567730188,0.0,0.0
adam,4,0.0001,50,64,False,280,same,sigmoid,0.001,0.1,18,40,0.1,"[1, 2, 4, 4]",relu,0.704934239388,0.508311152458,0.0,0.0,0.705155909061,0.502049207687,0.0,0.0
rmsprop,5,0.0001,50,64,True,270,same,sigmoid,0.0001,0.0001,92,24,0.01,"[1, 4, 8, 8, 4]",relu,0.745351195335,0.511252045631,0.501496016979,0.985175490379,0.742646038532,0.510630130768,0.499866873026,0.983241677284
sgd,4,0.0001,50,64,False,270,same,sigmoid,0.2,0.0001,24,70,0.1,"[1, 0.5, 0.25, 0.25]",softmax,101.522941589,0.508899331093,0.0,0.0,101.52256012,0.500640392303,0.0,0.0
sgd,3,0.01,50,256,True,110,same,sigmoid,0.1,0.01,12,68,0.01,"[1, 2, 4]",relu,0.734145343304,0.524671077728,0.508938491344,0.982304155827,0.732993841171,0.525260448456,0.510234951973,0.978656172752
sgd,1,0.0001,50,256,False,250,same,sigmoid,0.3,0.0001,88,50,0.01,[1],softmax,2.38042664528,0.507709681988,0.0,0.0,2.38037610054,0.51302087307,0.0,0.0
rmsprop,4,0.01,50,256,True,240,same,sigmoid,0.001,0.01,48,58,0.001,"[1, 4, 8, 8]",relu,3.37230491638,0.508634865284,0.625,0.000784272735473,3.37233018875,0.508984386921,1.0,0.000530082150362
adam,3,0.0001,50,256,False,130,same,sigmoid,0.0001,0.0001,14,52,0.001,"[1, 4, 8]",sigmoid,0.721332728863,0.52323192358,0.50763887167,0.978655517101,0.71796387434,0.527083337307,0.510567784309,0.97648614645
sgd,4,0.1,50,64,True,220,same,sigmoid,0.2,0.0001,82,68,0.1,"[1, 0.5, 0.25, 0.25]",relu,0.698096394539,0.508490204811,0.0,0.0,0.698474884033,0.498847365379,0.0,0.0
sgd,4,0.01,50,256,True,190,same,sigmoid,0.001,0.001,46,36,0.3,"[1, 2, 4, 4]",sigmoid,1.8828599453,0.50830078125,0.0,0.0,1.88270390034,0.511979222298,0.0,0.0
sgd,4,0.001,50,128,True,280,same,sigmoid,0.1,0.1,72,52,0.1,"[1, 4, 8, 8]",softmax,1.03408408165,0.508709013462,0.0,0.0,1.03409588337,0.5078125,0.0,0.0
adam,2,0.01,50,256,True,150,same,sigmoid,0.001,0.1,82,18,0.3,"[1, 1]",softmax,2.56665539742,0.509585738182,0.0,0.0,2.5666782856,0.50911462307,0.0,0.0
adam,3,0.0001,50,128,True,180,same,sigmoid,0.01,0.2,2,30,0,"[1, 2, 4]",tanh,0.686974942684,0.578970313072,0.547622323036,0.8245870471,0.685882747173,0.582223415375,0.550149857998,0.814669847488
sgd,3,0.01,50,64,False,210,same,sigmoid,0.001,0.0001,4,14,0.1,"[1, 0.5, 0.25]",softmax,0.804180860519,0.508720338345,0.0,0.0,0.804556488991,0.498463153839,0.0,0.0
sgd,4,0.0001,50,128,True,140,same,sigmoid,0.2,0.0001,62,78,0.1,"[1, 2, 4, 4]",tanh,20.1844768524,0.502151668072,0.493936896324,0.532916307449,20.1808338165,0.502177298069,0.503937005997,0.522582292557
sgd,5,0.0001,50,128,True,250,same,sigmoid,0.3,0.3,26,62,0.3,"[1, 1, 1, 1, 1]",relu,2.51499247551,0.508657813072,0.0,0.0,2.51499128342,0.508965194225,0.0,0.0
sgd,5,0.1,50,256,True,130,same,sigmoid,0.3,0.01,74,46,0.3,"[1, 4, 8, 8, 4]",tanh,0.933757781982,0.509894132614,0.50663715601,0.0240004193038,0.934502243996,0.504687547684,0.5,0.0228706635535
sgd,5,0.0001,50,256,True,210,same,sigmoid,0.2,0.2,60,14,0.001,"[1, 2, 4, 4, 2]",relu,89.7123641968,0.5029296875,0.494701713324,0.574187457561,89.7113571167,0.516276061535,0.504151284695,0.582777917385
sgd,1,0.0001,50,64,True,200,same,sigmoid,0.1,0.2,66,18,0,[1],relu,16.4565258026,0.513400197029,0.504878997803,0.487531900406,16.4551753998,0.506915986538,0.496150761843,0.489138960838
sgd,1,0.1,50,64,True,210,same,sigmoid,0.01,0.001,14,12,0,[1],sigmoid,0.693019628525,0.508413493633,0.0,0.0,0.692950665951,0.510117828846,0.0,0.0
sgd,4,0.0001,50,64,True,250,same,sigmoid,0.0001,0.01,78,24,0.1,"[1, 2, 4, 4]",tanh,9.97134494781,0.501636683941,0.494953036308,0.735520780087,9.9722738266,0.501664996147,0.493943750858,0.725346624851
adam,5,0.01,50,64,False,220,same,sigmoid,0.1,0.0001,34,60,0.1,"[1, 2, 4, 4, 2]",relu,0.869670152664,0.508055448532,0.411347538233,0.00301894638687,0.869443356991,0.510374009609,0.363636344671,0.00314630311914
adam,2,0.0001,50,64,True,140,same,sigmoid,0.2,0.2,22,28,0.2,"[1, 4]",tanh,0.708138108253,0.508515775204,0.0,0.0,0.708479821682,0.500384271145,0.0,0.0
rmsprop,4,0.01,50,64,False,160,same,sigmoid,0.001,0.3,18,58,0,"[1, 2, 4, 4]",relu,67.813835144,0.510919630527,0.545164704323,0.0267048403621,67.819190979,0.513575851917,0.510526359081,0.0255128890276
adam,2,0.0001,50,256,True,240,same,sigmoid,0.001,0.2,36,14,0.2,"[1, 2]",relu,33.2526931763,0.531918168068,0.516623854637,0.73629707098,33.252784729,0.523307323456,0.512948572636,0.729544878006
sgd,5,0.001,50,256,True,280,same,sigmoid,0.01,0.0001,58,48,0.3,"[1, 2, 4, 4, 2]",tanh,1.73967146873,0.510408103466,0.501899003983,0.875117301941,1.73933017254,0.510286509991,0.502655148506,0.87276083231
sgd,4,0.1,50,128,True,180,same,sigmoid,0.01,0.001,74,30,0.1,"[1, 2, 4, 4]",sigmoid,0.696527183056,0.508529722691,0.0,0.0,0.696146607399,0.510630130768,0.0,0.0
adam,5,0.01,50,64,True,160,same,sigmoid,0.001,0.001,86,30,0.3,"[1, 2, 4, 4, 2]",relu,1.29761326313,0.534574449062,0.517319023609,0.788914859295,1.29404604435,0.536501049995,0.516580343246,0.784833431244
sgd,4,0.001,50,64,False,220,same,sigmoid,0.1,0.3,92,52,0.001,"[1, 1, 1, 1]",relu,34.9654693604,0.531608045101,0.51233369112,0.962459623814,34.965461731,0.53496414423,0.514937758446,0.967767059803
sgd,2,0.1,50,256,True,220,same,sigmoid,0.1,0.01,10,64,0.001,"[1, 4]",softmax,0.755154192448,0.50948292017,0.0,0.0,0.755162298679,0.509244799614,0.0,0.0
sgd,1,0.001,50,64,True,140,same,sigmoid,0.3,0.2,36,32,0.2,[1],tanh,0.939817249775,0.534369885921,0.525210916996,0.544347286224,0.939165234566,0.538165986538,0.530685007572,0.541720807552
sgd,4,0.0001,50,64,False,180,same,sigmoid,0.3,0.001,64,26,0.001,"[1, 4, 8, 8]",tanh,7.28812599182,0.497928619385,0.489528268576,0.51095610857,7.29207754135,0.490266412497,0.480020105839,0.499869138002
sgd,1,0.01,50,256,True,100,same,sigmoid,0.3,0.2,58,54,0.001,[1],relu,2.6108481884,0.538882613182,0.52383261919,0.679215669632,2.61179018021,0.53255212307,0.515728473663,0.665954053402
sgd,3,0.0001,50,64,False,230,same,sigmoid,0.3,0.3,8,52,0.3,"[1, 0.5, 0.25]",relu,17.8447341919,0.510382592678,0.504781365395,0.205972626805,17.8447380066,0.507940590382,0.523556768894,0.201635584235
sgd,4,0.01,50,256,False,240,same,sigmoid,0.3,0.1,78,26,0,"[1, 2, 4, 4]",relu,2.90971708298,0.508120894432,0.571428596973,0.000208975499845,2.90968418121,0.510677099228,0.0,0.0
adam,4,0.01,50,128,False,200,same,sigmoid,0.2,0.3,2,66,0.2,"[1, 1, 1, 1]",relu,,,,,,,,
rmsprop,2,0.0001,50,256,False,180,same,sigmoid,0.0001,0.0001,64,46,0.2,"[1, 4]",relu,0.775526285172,0.521098911762,0.506701350212,0.897212922573,0.77782356739,0.513541698456,0.502535045147,0.893899202347
