use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
True,190,sigmoid,rmsprop,3,0.001,0.2,0.0001,"[1, 2, 4]",50,0.0,True,256,relu,,,,,,,,,,,
True,540,sigmoid,adam,5,0.1,0.2,0.001,"[1, 2, 2, 2, 2]",50,0.2,True,128,tanh,,,,,,,,,,,
False,100,sigmoid,sgd,3,0.0001,0.01,0.1,"[1, 4, 4]",50,0.001,False,64,relu,,,,,,,,,,,
False,630,sigmoid,adam,1,0.001,0.001,0.0001,[1],50,0.3,True,256,relu,,,,,,,,,,,
False,80,sigmoid,sgd,1,0.001,0.3,0.0001,[1],50,0.001,False,128,relu,,,,,,,,,,,
True,520,sigmoid,rmsprop,1,0.001,0.1,0.2,[1],50,0.3,False,64,relu,,,,,,,,,,,
False,130,sigmoid,sgd,1,0.0001,0.0,0.1,[1],50,0.3,True,256,relu,,,,,,,,,,,
False,420,sigmoid,adam,2,0.01,0.1,0.2,"[1, 1]",50,0.001,True,256,tanh,,,,,,,,,,,
True,420,sigmoid,sgd,4,0.0001,0.1,0.001,"[1, 1, 1, 1]",50,0.001,True,64,tanh,281.859191895,0.499738394216,0.490367,0.383197,0.430208,281.859069824,0.494430693069,0.513878,0.388256,0.442321,"[[1900 1226]
 [2042 1296]]"
False,450,sigmoid,adam,2,0.001,0.01,0.0001,"[1, 2]",50,0.001,True,256,relu,,,,,,,,,,,
False,340,sigmoid,adam,2,0.001,0.1,0.001,"[1, 1]",50,0.01,False,128,relu,1.57822203636,0.506978849085,0.0,0.0,0.0,1.57893335819,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,300,sigmoid,rmsprop,4,0.01,0.1,0.01,"[1, 4, 8, 8]",50,0.001,False,256,relu,736.159851074,0.493021150915,0.493021,1.0,0.660434,736.150512695,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
True,340,sigmoid,sgd,4,0.1,0.01,0.0001,"[1, 4, 4, 4]",50,0.3,True,128,relu,,,,,,,,,,,
True,270,sigmoid,rmsprop,1,0.0001,0.0001,0.01,[1],50,0.1,False,64,relu,,,,,,,,,,,
True,630,sigmoid,adam,2,0.001,0.2,0.3,"[1, 4]",50,0.001,False,64,relu,,,,,,,,,,,
False,140,sigmoid,sgd,1,0.0001,0.0,0.01,[1],50,0.2,True,128,sigmoid,,,,,,,,,,,
True,570,sigmoid,adam,2,0.01,0.01,0.01,"[1, 4]",50,0.0,False,256,relu,,,,,,,,,,,
True,630,sigmoid,sgd,1,0.001,0.0,0.1,[1],50,0.0,True,128,softmax,,,,,,,,,,,
True,410,sigmoid,sgd,1,0.0001,0.001,0.01,[1],50,0.001,False,128,softmax,,,,,,,,,,,
False,640,sigmoid,sgd,3,0.1,0.1,0.01,"[1, 2, 4]",50,0.0,True,64,softmax,,,,,,,,,,,
False,590,sigmoid,adam,1,0.01,0.3,0.0001,[1],50,0.3,False,256,softmax,,,,,,,,,,,
True,120,sigmoid,sgd,4,0.001,0.001,0.1,"[1, 2, 2, 2]",50,0.1,False,128,softmax,,,,,,,,,,,
False,650,sigmoid,rmsprop,2,0.01,0.01,0.2,"[1, 4]",50,0.1,True,64,relu,,,,,,,,,,,
False,680,sigmoid,sgd,5,0.0001,0.2,0.0001,"[1, 2, 4, 6, 8]",50,0.001,True,256,softmax,,,,,,,,,,,
