use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,decay_sequence,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,165,same,sigmoid,sgd,1,146,0.0001,0.2,0.01,165,123,50,0.01,softmax,[1],relu,256,6.43756341934,0.508591413498,0.0,0.0,6.43753433228,0.511979222298,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,89,same,sigmoid,sgd,4,50,0.01,0.001,0.2,257,60,50,0.3,relu,"[1, 1, 1, 1]",relu,128,44.6973190308,0.508537590504,0.0,0.0,44.6972198486,0.511270523071,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,77,same,sigmoid,sgd,1,90,0.0001,0.1,0.1,290,42,50,0.1,tanh,[1],relu,256,13.5806102753,0.518443286419,0.512540340424,0.431686282158,13.5806541443,0.513932347298,0.500643908978,0.41610917449,"[[3268  668]
 [3024  867]]"
False,259,same,sigmoid,rmsprop,1,148,0.001,0.3,0.1,259,144,50,0.2,softmax,[1],relu,64,3.97333312035,0.546457469463,0.532569885254,0.629857242107,3.97381234169,0.543929338455,0.527533054352,0.62844401598,"[[1090 2846]
 [ 438 3453]]"
True,216,same,sigmoid,rmsprop,4,78,0.01,0.0001,0.001,298,138,50,0.1,tanh,"[1, 1, 1, 1]",tanh,256,13.475736618,0.508257031441,0.0,0.0,13.4759225845,0.508072972298,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,156,same,sigmoid,rmsprop,4,140,0.0001,0.3,0.0001,156,87,50,0.001,sigmoid,"[1, 1, 1, 1]",tanh,128,0.778078913689,0.508358120918,0.0,0.0,0.781016945839,0.499871969223,0.0,0.0,"[[ 370 3566]
 [ 100 3791]]"
True,244,same,sigmoid,sgd,2,136,0.1,0.001,0.0001,244,21,50,0.1,tanh,"[1, 2]",tanh,64,0.709200203419,0.540544688702,0.517388164997,0.968593716621,0.710185348988,0.539062559605,0.515720665455,0.969150304794,"[[ 355 3581]
 [ 101 3790]]"
False,270,same,sigmoid,sgd,3,80,0.0001,0.1,0.001,294,75,50,0.1,softmax,"[1, 1, 1]",relu,256,27.5434741974,0.491434305906,0.491434305906,1.0,27.5434799194,0.490755230188,0.490755230188,1.0,"[[   0 3936]
 [   0 3891]]"
True,159,same,sigmoid,sgd,2,86,0.01,0.2,0.0001,159,111,50,0.2,relu,"[1, 2]",tanh,256,0.711394071579,0.535240232944,0.514325141907,0.976186752319,0.711707353592,0.529042363167,0.508609831333,0.975825965405,"[[ 169 3767]
 [  68 3823]]"
False,81,same,sigmoid,sgd,3,56,0.0001,0.1,0.2,165,15,50,0.0,sigmoid,"[1, 2, 4]",relu,128,136.850906372,0.508358120918,0.0,0.0,136.854309082,0.49948772788,0.0,0.0,"[[3936    0]
 [3890    1]]"
True,127,same,sigmoid,sgd,3,114,0.01,0.01,0.01,238,42,50,0.0,sigmoid,"[1, 1, 1]",relu,64,1.24733924866,0.518608570099,0.505390048027,0.969173073769,1.24733304977,0.523309469223,0.512879610062,0.967024505138,"[[  76 3860]
 [  32 3859]]"
True,78,same,sigmoid,sgd,2,112,0.001,0.2,0.001,265,63,50,0.001,softmax,"[1, 4]",tanh,256,10.8283452988,0.508694291115,0.0,0.0,10.8282909393,0.513671875,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,97,same,sigmoid,sgd,2,112,0.0001,0.2,0.3,264,93,50,0.2,tanh,"[1, 2]",relu,256,3.50705599785,0.508797228336,0.0,0.0,3.50705385208,0.510858178139,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,133,same,sigmoid,sgd,2,56,0.0001,0.1,0.001,248,21,50,0.1,tanh,"[1, 1]",tanh,128,8.49308395386,0.498102754354,0.491226613522,0.621273040771,8.49061012268,0.5,0.49098443985,0.620644450188,"[[  80 3856]
 [  33 3858]]"
