use_layerwise_dropout_batchnorm,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,decay_sequence,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,same,sigmoid,sgd,2,62,0.05,0.01,0.01,274,58,75,0.3,relu,"[1, 2]",relu,64,1.00204074383,0.500791847706,0.500731468201,0.999391674995,1.00191223621,0.506781756878,0.506680369377,1.0,"[[   0 2481]
 [   5 2448]]"
False,same,sigmoid,sgd,2,70,0.025,0.01,0.01,252,40,75,0.001,tanh,"[1, 2]",tanh,128,0.82636898756,0.500701844692,0.500671386719,1.0,0.826276838779,0.506120681763,0.506120681763,1.0,"[[   0 2481]
 [   0 2453]]"
False,same,sigmoid,sgd,1,74,0.01,0.1,0.001,270,48,75,0.01,relu,[1],tanh,64,0.621110141277,0.666199684143,0.622193574905,0.850398004055,0.620323717594,0.668721735477,0.625972509384,0.852485775948,"[[1162 1319]
 [ 460 1993]]"
False,same,sigmoid,sgd,2,66,0.05,0.1,0.001,266,58,75,0.3,relu,"[1, 2]",tanh,256,1.0023522377,0.595735490322,0.583289384842,0.676510095596,1.00186491013,0.598142623901,0.587129414082,0.680637061596,"[[1237 1244]
 [ 761 1692]]"
False,same,sigmoid,sgd,2,64,0.01,0.1,0.001,294,42,75,0.2,tanh,"[1, 2]",relu,128,2.9100689888,0.609185218811,0.571321904659,0.884528815746,2.91081357002,0.61080622673,0.574807465076,0.875209391117,"[[ 806 1675]
 [ 292 2161]]"
False,same,sigmoid,sgd,2,60,0.025,0.01,0.001,270,44,75,0.01,relu,"[1, 2]",relu,64,0.427803069353,0.837729215622,0.840207755566,0.835206210613,0.418366581202,0.841923713684,0.841955184937,0.840927600861,"[[2047  434]
 [ 411 2042]]"
False,same,sigmoid,sgd,2,76,0.01,0.01,0.0001,284,44,75,0.0,tanh,"[1, 2]",relu,64,0.537779211998,0.827039062977,0.819124996662,0.840194582939,0.530677378178,0.830357134342,0.828900396824,0.837545096874,"[[1980  501]
 [ 421 2032]]"
False,same,sigmoid,sgd,2,66,0.005,0.1,0.0001,280,58,75,0.01,tanh,"[1, 2]",tanh,128,0.912872374058,0.61223679781,0.574686408043,0.872520387173,0.915473997593,0.611439406872,0.577271461487,0.87479197979,"[[ 867 1614]
 [ 327 2126]]"
False,same,sigmoid,sgd,1,66,0.005,0.1,0.01,250,46,75,0.3,relu,[1],tanh,64,0.758711457253,0.571237146854,0.540797114372,0.958806753159,0.758054375648,0.577476382256,0.547200381756,0.959821403027,"[[ 457 2024]
 [ 133 2320]]"
False,same,sigmoid,sgd,1,76,0.01,0.01,0.01,258,58,75,0.2,tanh,[1],relu,128,0.684176266193,0.601708889008,0.564981162548,0.892535328865,0.685279130936,0.60637396574,0.570972084999,0.894078373909,"[[ 755 1726]
 [ 285 2168]]"
False,same,sigmoid,sgd,2,68,0.05,0.01,0.01,274,40,75,0.3,relu,"[1, 1]",tanh,128,1.17764115334,0.50122064352,0.500871062279,0.999146461487,1.17751085758,0.509708702564,0.50939810276,1.0,"[[   2 2479]
 [   6 2447]]"
False,same,sigmoid,sgd,1,60,0.01,0.01,0.01,254,54,75,0.01,tanh,[1],relu,128,0.962644994259,0.607171177864,0.568084836006,0.900402069092,0.963554263115,0.612916827202,0.574502408504,0.894472360611,"[[ 756 1725]
 [ 251 2202]]"
False,same,sigmoid,sgd,1,64,0.01,0.01,0.001,268,56,75,0.2,tanh,[1],relu,256,0.904965877533,0.620029389858,0.580753922462,0.865050256252,0.90214830637,0.622836589813,0.583118796349,0.86064183712,"[[ 911 1570]
 [ 371 2082]]"
False,same,sigmoid,sgd,1,70,0.05,0.1,0.001,288,54,75,0.1,relu,[1],relu,64,0.482199162245,0.822836101055,0.824812114239,0.820751309395,0.476628690958,0.824066579342,0.826230883598,0.817103147507,"[[1968  513]
 [ 556 1897]]"
False,same,sigmoid,sgd,1,60,0.025,0.01,0.001,286,40,75,0.01,tanh,[1],relu,64,0.481385946274,0.836510956287,0.829553544521,0.848390996456,0.474816203117,0.840503275394,0.831053853035,0.849506556988,"[[1906  575]
 [ 570 1883]]"
False,same,sigmoid,sgd,2,72,0.005,0.01,0.001,276,58,75,0.0,relu,"[1, 2]",relu,256,2.63475775719,0.615005195141,0.575306713581,0.88792526722,2.63554549217,0.616504848003,0.580240190029,0.883991658688,"[[ 855 1626]
 [ 305 2148]]"
False,same,sigmoid,sgd,1,70,0.01,0.01,0.01,288,56,75,0.01,relu,[1],tanh,64,0.495449006557,0.818785429001,0.821734905243,0.815242469311,0.492446810007,0.816761374474,0.815960943699,0.816293299198,"[[1948  533]
 [ 615 1838]]"
False,same,sigmoid,sgd,2,64,0.01,0.01,0.0001,266,44,75,0.1,relu,"[1, 2]",relu,256,1.31444621086,0.609889090061,0.581354141235,0.784580528736,1.3126013279,0.620514929295,0.596954643726,0.793146193027,"[[1045 1436]
 [ 525 1928]]"
False,same,sigmoid,sgd,1,68,0.025,0.01,0.001,282,54,75,0.0,relu,[1],relu,64,0.455044418573,0.842845857143,0.832078158855,0.859800577164,0.449226230383,0.847402572632,0.83740156889,0.862530469894,"[[1928  553]
 [ 476 1977]]"
False,same,sigmoid,sgd,1,70,0.005,0.01,0.0001,288,54,75,0.1,tanh,[1],relu,128,0.694060206413,0.633689343929,0.593785703182,0.854327559471,0.690155744553,0.64014351368,0.600700497627,0.85929018259,"[[ 962 1519]
 [ 393 2060]]"
False,same,sigmoid,sgd,1,62,0.025,0.01,0.01,250,52,75,0.001,tanh,[1],tanh,64,0.436994791031,0.837820529938,0.842801690102,0.831693410873,0.436964809895,0.84232956171,0.845134556293,0.835106372833,"[[1942  539]
 [ 552 1901]]"
False,same,sigmoid,sgd,1,72,0.01,0.1,0.001,294,56,75,0.01,tanh,[1],relu,64,0.749625205994,0.616373300552,0.577674806118,0.87137556076,0.750062644482,0.621043980122,0.5827922225,0.877035856247,"[[ 884 1597]
 [ 344 2109]]"
False,same,sigmoid,sgd,1,74,0.05,0.01,0.001,296,48,75,0.3,relu,[1],relu,128,0.580187022686,0.816173315048,0.813333332539,0.821461200714,0.573690891266,0.81270557642,0.806030988693,0.819726467133,"[[1943  538]
 [ 541 1912]]"
False,same,sigmoid,sgd,2,60,0.005,0.1,0.0001,260,56,75,0.0,relu,"[1, 4]",relu,64,1.7820110321,0.607997834682,0.576271891594,0.819940388203,1.78042781353,0.617755830288,0.587137520313,0.828942060471,"[[ 970 1511]
 [ 448 2005]]"
