meier_load,use_layerwise_dropout_batchnorm,units,second_dense_units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,first_dense_units,epochs,dropout_rate,dropout_T_bn_F,dense_activation,decay_sequence,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,True,120,100,sigmoid,rmsprop,1,0.001,0.01,0.0,100,50,0.3,True,tanh,[1],256,1.51788306236,0.506978849085,0.0,0.0,0.0,1.52079308033,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,80,130,sigmoid,adam,1,0.0001,0.01,0.001,130,50,0.0,False,relu,[1],64,0.954337656498,0.68398021309,0.687138,0.658688,0.664188,0.961012065411,0.674659653465,0.701075,0.644997,0.655483,"[[2208  918]
 [1185 2153]]"
False,True,140,240,sigmoid,sgd,2,0.01,0.0001,0.1,240,50,0.01,False,tanh,"[1, 4]",256,,,,,,,,,,,
False,False,110,140,sigmoid,sgd,1,0.01,0.1,0.0001,160,50,0.1,True,tanh,[1],128,3.81861042976,0.506978849085,0.0,0.0,0.0,3.81915640831,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,110,100,sigmoid,adam,2,0.0001,0.001,0.2,100,50,0.0,False,softmax,"[1, 1]",256,415.167419434,0.506978849085,0.0,0.0,0.0,415.167419434,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,130,160,sigmoid,sgd,1,0.01,0.1,0.2,240,50,0.001,True,tanh,[1],256,15.267534256,0.506978849085,0.0,0.0,0.0,15.2678480148,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,90,150,sigmoid,adam,1,0.01,0.2,0.1,150,50,0.1,True,softmax,[1],128,,,,,,,,,,,
False,True,90,170,sigmoid,rmsprop,1,0.0001,0.1,0.0001,170,50,0.2,True,softmax,[1],256,9.79444122314,0.506978849085,0.0,0.0,0.0,9.79474925995,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,100,100,sigmoid,adam,2,0.01,0.3,0.2,100,50,0.2,False,tanh,"[1, 1]",128,12.9262866974,0.493021150915,0.493021,1.0,0.82942,12.9258375168,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,120,120,sigmoid,sgd,2,0.0001,0.1,0.01,190,50,0.01,False,tanh,"[1, 1]",128,75.132270813,0.506978849085,0.0,0.0,0.0,75.1321334839,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,140,110,sigmoid,sgd,2,0.01,0.01,0.3,110,50,0.1,False,softmax,"[1, 4]",128,,,,,,,,,,,
False,True,80,200,sigmoid,adam,2,0.01,0.01,0.2,280,50,0.1,True,softmax,"[1, 4]",64,2.68529415131,0.49284151446,0.492842,1.0,0.829318,2.68494033813,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,False,100,120,sigmoid,adam,2,0.0001,0.0001,0.2,120,50,0.1,True,softmax,"[1, 2]",256,263.030975342,0.506978849085,0.0,0.0,0.0,263.030731201,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,90,140,sigmoid,rmsprop,2,0.01,0.01,0.3,180,50,0.1,True,tanh,"[1, 1]",64,,,,,,,,,,,
False,False,120,260,sigmoid,adam,1,0.001,0.0001,0.2,280,50,0.001,False,tanh,[1],256,20.8196277618,0.506978849085,0.0,0.0,0.0,20.8202991486,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,140,170,sigmoid,sgd,1,0.001,0.2,0.3,170,50,0.001,False,relu,[1],128,,,,,,,,,,,
