batch_size,epochs,learning_rate,optimizer,units,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
128,50,0.01,sgd,50,sigmoid,,,,,,,,,,,
128,50,0.01,sgd,1,sigmoid,0.693049013615,0.506978849085,0.0,0.0,0.0,0.693812072277,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
