meier_load,units,output_layer_activation,optimizer,learning_rate,epochs,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,128,sigmoid,rmsprop,0.0001,50,128,0.201319664717,0.927662919207,0.924935,0.928644,0.9279,0.174208790064,0.94609375,0.929881,0.968485,0.96051,"[[2859  241]
 [ 104 3196]]"
False,64,sigmoid,sgd,0.01,50,256,0.250327765942,0.901795922256,0.909001,0.889898,0.893654,0.197620525956,0.930625,0.923488,0.943636,0.939537,"[[2842  258]
 [ 186 3114]]"
False,128,sigmoid,adam,0.0001,50,256,0.148628473282,0.944979039634,0.968988,0.917774,0.927579,0.16051954031,0.9415625,0.944141,0.942424,0.942767,"[[2916  184]
 [ 190 3110]]"
False,64,sigmoid,adam,0.01,50,256,0.0134701654315,0.995688833841,0.994982,0.99628,0.99602,0.302627950907,0.93296875,0.911436,0.963636,0.952723,"[[2791  309]
 [ 120 3180]]"
False,64,sigmoid,adam,0.001,50,256,0.213658317924,0.934260670732,0.934211,0.932316,0.932694,0.345413893461,0.91765625,0.902467,0.942121,0.933914,"[[2764  336]
 [ 191 3109]]"
False,8,sigmoid,sgd,0.01,50,128,0.238707095385,0.908036394817,0.912575,0.899657,0.902211,0.182617947459,0.9378125,0.927771,0.953636,0.948349,"[[2855  245]
 [ 153 3147]]"
False,128,sigmoid,sgd,0.0001,50,128,0.664575994015,0.881883574695,0.897314,0.858689,0.866146,0.663666903973,0.9096875,0.911178,0.913939,0.913386,"[[2806  294]
 [ 284 3016]]"
False,64,sigmoid,sgd,0.0001,50,256,0.580525457859,0.863019245427,0.853414,0.871926,0.86816,0.57852101326,0.88859375,0.874168,0.915758,0.907126,"[[2665  435]
 [ 278 3022]]"
False,8,sigmoid,adam,0.0001,50,256,0.193052127957,0.926972179878,0.948837,0.90043,0.909712,0.138432338834,0.95125,0.955488,0.949697,0.95085,"[[2954  146]
 [ 166 3134]]"
False,128,sigmoid,rmsprop,0.001,50,128,0.137152150273,0.943335556402,0.98241,0.901203,0.916352,0.180573433638,0.94484375,0.956051,0.936061,0.939991,"[[2958  142]
 [ 211 3089]]"
False,128,sigmoid,adam,0.01,50,68,0.0128463767469,0.995478774034,0.999951,0.990876,0.992678,0.360530823469,0.937925696594,0.946728,0.932254,0.935113,"[[2949  175]
 [ 226 3110]]"
False,64,sigmoid,rmsprop,0.0001,50,68,0.145563483238,0.94498381877,0.955946,0.931303,0.936129,0.148981586099,0.946749226006,0.940259,0.957734,0.954187,"[[2921  203]
 [ 141 3195]]"
False,8,sigmoid,sgd,0.001,50,68,0.307906478643,0.873929183324,0.895363,0.842715,0.852743,0.268992036581,0.900309597523,0.91492,0.889688,0.894623,"[[2848  276]
 [ 368 2968]]"
False,64,sigmoid,sgd,0.0001,50,128,0.64535343647,0.883122141768,0.919153,0.836514,0.851831,0.645297706127,0.90765625,0.931782,0.885758,0.894595,"[[2886  214]
 [ 377 2923]]"
False,128,sigmoid,sgd,0.0001,50,256,0.443583250046,0.849561737805,0.903405,0.778057,0.800264,0.436637610197,0.8675,0.918716,0.815152,0.833953,"[[2862  238]
 [ 610 2690]]"
False,8,sigmoid,adam,0.01,50,68,0.109279900789,0.960784313725,0.98332,0.936323,0.94536,0.166523933411,0.946749226006,0.94898,0.947842,0.948069,"[[2954  170]
 [ 174 3162]]"
False,64,sigmoid,adam,0.0001,50,256,0.190202280879,0.926519626524,0.961438,0.886516,0.900552,0.152915775776,0.94171875,0.95408,0.931818,0.936187,"[[2952  148]
 [ 225 3075]]"
False,8,sigmoid,adam,0.01,50,128,0.181928783655,0.953529916159,0.990991,0.914054,0.92847,0.201418414712,0.94234375,0.954137,0.93303,0.937177,"[[2952  148]
 [ 221 3079]]"
False,8,sigmoid,sgd,0.01,50,68,0.20910038054,0.922330097087,0.924492,0.917351,0.91877,0.159045293927,0.948606811146,0.936882,0.965528,0.959659,"[[2907  217]
 [ 115 3221]]"
False,8,sigmoid,adam,0.001,50,128,0.0800886750221,0.972727705793,0.986031,0.958259,0.963687,0.135324016213,0.9590625,0.95101,0.970606,0.966622,"[[2935  165]
 [  97 3203]]"
False,8,sigmoid,sgd,0.001,50,128,0.281909972429,0.886837842988,0.909301,0.855838,0.866022,0.242588549852,0.91328125,0.925318,0.904848,0.90887,"[[2859  241]
 [ 314 2986]]"
False,64,sigmoid,rmsprop,0.001,50,256,0.207093462348,0.929044397866,0.943888,0.910189,0.916735,0.199110597372,0.93765625,0.933892,0.946061,0.943602,"[[2879  221]
 [ 178 3122]]"
False,64,sigmoid,adam,0.001,50,68,0.0666884109378,0.976656196459,0.993794,0.958627,0.96546,0.246852934361,0.94427244582,0.95283,0.938549,0.941371,"[[2969  155]
 [ 205 3131]]"
False,8,sigmoid,rmsprop,0.0001,50,68,0.197520628572,0.927136874167,0.949297,0.900261,0.909659,0.135230407119,0.952167182663,0.957666,0.949341,0.950994,"[[2984  140]
 [ 169 3167]]"
False,64,sigmoid,sgd,0.0001,50,68,0.343257218599,0.860627260613,0.900178,0.806701,0.82381,0.317058563232,0.884674922601,0.917768,0.853118,0.865309,"[[2869  255]
 [ 490 2846]]"
False,64,sigmoid,sgd,0.001,50,128,0.548945844173,0.869902820122,0.869704,0.865839,0.866609,0.543607890606,0.896875,0.887097,0.916667,0.910596,"[[2715  385]
 [ 275 3025]]"
False,8,sigmoid,adam,0.001,50,256,0.2748683393,0.905749809451,0.931985,0.872506,0.883786,0.235545396805,0.91078125,0.923363,0.901818,0.906046,"[[2853  247]
 [ 324 2976]]"
False,64,sigmoid,adam,0.01,50,68,0.00209271651693,0.999595469256,1.0,0.999179,0.999343,0.459886670113,0.931114551084,0.947662,0.917266,0.923188,"[[2955  169]
 [ 276 3060]]"
False,8,sigmoid,sgd,0.0001,50,256,0.411777466536,0.84853753811,0.905085,0.77395,0.797047,0.401348650455,0.86515625,0.918297,0.810606,0.830075,"[[2862  238]
 [ 625 2675]]"
False,128,sigmoid,sgd,0.01,50,68,0.220892265439,0.915976584809,0.919363,0.909288,0.911286,0.16570019722,0.942879256966,0.931125,0.960432,0.954424,"[[2887  237]
 [ 132 3204]]"
False,64,sigmoid,rmsprop,0.001,50,68,0.12981121242,0.956310679612,0.961475,0.949406,0.951796,0.176908776164,0.944582043344,0.935635,0.958633,0.953943,"[[2904  220]
 [ 138 3198]]"
False,8,sigmoid,rmsprop,0.01,50,68,0.0913246721029,0.970421663811,0.990478,0.949117,0.95711,0.221393123269,0.934984520124,0.953923,0.918465,0.925344,"[[2976  148]
 [ 272 3064]]"
False,64,sigmoid,adam,0.01,50,128,0.00177676172461,0.999618902439,1.0,0.999227,0.999382,0.370702654123,0.9415625,0.950709,0.935152,0.938222,"[[2940  160]
 [ 214 3086]]"
False,128,sigmoid,rmsprop,0.01,50,128,0.000178009882802,0.999976181402,1.0,0.999952,0.999961,0.639986455441,0.93625,0.930357,0.947273,0.943841,"[[2866  234]
 [ 174 3126]]"
False,128,sigmoid,rmsprop,0.001,50,68,0.185441508889,0.933395202741,0.947048,0.916095,0.922123,0.210365265608,0.935448916409,0.927379,0.949341,0.944865,"[[2876  248]
 [ 169 3167]]"
False,8,sigmoid,adam,0.001,50,68,0.101695775986,0.963972967828,0.975671,0.950613,0.955521,0.122826233506,0.95866873065,0.953056,0.967626,0.964676,"[[2965  159]
 [ 108 3228]]"
False,128,sigmoid,sgd,0.001,50,68,0.261825591326,0.896321149819,0.903737,0.883798,0.887715,0.214750438929,0.92786377709,0.923554,0.93795,0.935035,"[[2865  259]
 [ 207 3129]]"
False,8,sigmoid,sgd,0.0001,50,68,0.405150830746,0.85282219684,0.901331,0.787632,0.808017,0.392609447241,0.872445820433,0.917831,0.827038,0.843731,"[[2877  247]
 [ 577 2759]]"
False,8,sigmoid,adam,0.0001,50,68,0.149190083146,0.944650675804,0.973771,0.912282,0.92395,0.130130663514,0.956656346749,0.964156,0.951439,0.953955,"[[3006  118]
 [ 162 3174]]"
False,64,sigmoid,sgd,0.001,50,256,0.359103083611,0.856064214939,0.898088,0.798686,0.816766,0.337324589491,0.87765625,0.914936,0.840909,0.85474,"[[2842  258]
 [ 525 2775]]"
False,128,sigmoid,rmsprop,0.001,50,256,0.101110711694,0.961842606707,0.975784,0.946084,0.951879,0.228782474995,0.93390625,0.927489,0.945758,0.942046,"[[2856  244]
 [ 179 3121]]"
False,128,sigmoid,adam,0.0001,50,68,0.199689090252,0.924566914144,0.923114,0.923916,0.923756,0.160869657993,0.945665634675,0.928756,0.969125,0.960773,"[[2876  248]
 [ 103 3233]]"
False,64,sigmoid,rmsprop,0.01,50,68,0.000340219703503,0.999904816295,1.0,0.999807,0.999846,0.646809339523,0.935448916409,0.932701,0.943046,0.940958,"[[2897  227]
 [ 190 3146]]"
False,64,sigmoid,sgd,0.001,50,68,,,,,,,,,,,
False,8,sigmoid,adam,0.001,50,128,0.100640051067,0.963605182927,0.976014,0.949514,0.954699,0.130366593599,0.95546875,0.949597,0.964848,0.961759,"[[2931  169]
 [ 116 3184]]"
