meier_load,activation,batch_size,dropout_T_bn_F,dropout_rate,epochs,growth_sequence,l1_r,l2_r,learning_rate,num_layers,optimizer,output_layer_activation,units,use_layerwise_dropout_batchnorm,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,relu,256,False,0.01,50,"[1, 2]",0.0,0.0001,0.01,2,sgd,sigmoid,320,True,inf,0.848193359375,0.876884,0.809127,0.821828,1.01802349091,0.679387019231,0.136079,0.598425,0.356306,"[[2109  965]
 [ 102  152]]"
False,relu,256,False,0.0,50,"[1, 2]",0.0,0.0001,0.01,2,sgd,sigmoid,320,True,inf,0.796752929688,0.834301,0.739154,0.756407,0.923951625824,0.664362980769,0.123801,0.559055,0.328248,"[[2069 1005]
 [ 112  142]]"
False,relu,256,False,0.001,50,"[1, 2]",0.0,0.1,0.01,2,sgd,sigmoid,320,True,inf,0.5580078125,0.534918,0.869406,0.772763,9.19613647461,0.254206730769,0.079623,0.830709,0.28778,"[[ 635 2439]
 [  43  211]]"
False,relu,256,False,0.001,50,"[1, 2]",0.0,0.01,0.01,2,sgd,sigmoid,320,True,13.8470487595,0.808520507812,0.836931,0.765008,0.778387,14.2474536896,0.662259615385,0.12884,0.594488,0.345064,"[[2053 1021]
 [ 103  151]]"
False,relu,256,False,0.001,50,"[1, 2]",0.0,0.001,0.01,2,sgd,sigmoid,320,True,inf,0.882275390625,0.856881,0.91705,0.90435,2.01837182045,0.601262019231,0.129745,0.740157,0.381339,"[[1813 1261]
 [  66  188]]"
False,relu,256,False,0.001,50,"[1, 2]",0.0,0.0,0.01,2,sgd,sigmoid,320,True,0.645993292332,0.648779296875,0.605436,0.848595,0.785499,0.842194199562,0.387319711538,0.094871,0.822835,0.324635,"[[1080 1994]
 [  45  209]]"
False,relu,256,False,0.001,50,"[1, 2]",0.1,0.0001,0.01,2,sgd,sigmoid,320,True,298.411651611,0.498583984375,0.498584,0.999951,0.832518,298.408569336,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
False,relu,256,False,0.001,50,"[1, 2]",0.01,0.0001,0.01,2,sgd,sigmoid,320,True,inf,0.499194335938,0.498888,0.99951,0.832443,67.4077758789,0.0763221153846,0.076067,0.996063,0.29134,"[[   1 3073]
 [   1  253]]"
False,relu,256,False,0.001,50,"[1, 2]",0.001,0.0001,0.01,2,sgd,sigmoid,320,True,inf,0.795239257813,0.779481,0.82181,0.81298,10.5996704102,0.588341346154,0.114641,0.653543,0.336851,"[[1792 1282]
 [  88  166]]"
False,relu,256,False,0.001,50,"[1, 2]",0.0001,0.0001,0.01,2,sgd,sigmoid,320,True,inf,0.789794921875,0.822556,0.737489,0.753065,5.95978879929,0.659254807692,0.133333,0.629921,0.361011,"[[2034 1040]
 [  94  160]]"
False,tanh,256,False,0.001,50,"[1, 2]",0.0,0.0001,0.01,2,sgd,sigmoid,320,True,0.711473882198,0.64658203125,0.700013,0.5095,0.538829,0.835090279579,0.660757211538,0.08373,0.346457,0.212869,"[[2111  963]
 [ 166   88]]"
False,sigmoid,256,False,0.001,50,"[1, 2]",0.0,0.0001,0.01,2,sgd,sigmoid,320,True,0.771456837654,0.603979492188,0.623363,0.519734,0.537608,0.849265694618,0.611478365385,0.077299,0.374016,0.211581,"[[1940 1134]
 [ 159   95]]"
False,softmax,256,False,0.001,50,"[1, 2]",0.0,0.0001,0.01,2,sgd,sigmoid,320,True,0.798285424709,0.501538085938,0.857143,0.000294,0.000367,0.793773412704,0.923978365385,1.0,0.003937,0.004916,"[[3074    0]
 [ 253    1]]"
