batch_size,cnn_activation,dense_activation,dropout_T_bn_F,dropout_rate,epochs,filter_size,first_dense_units,growth_sequence,l1_r,l2_r,learning_rate,num_filters,num_layers,optimizer,output_layer_activation,padding,second_dense_units,use_layerwise_dropout_batchnorm,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
256,relu,relu,True,0.001,50,74,254,"[1, 2, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.219780921936,0.899877929688,0.907841,0.889482,0.893094,0.298253387213,0.869290865385,0.339823,0.755906,0.607211,"[[2701  373]
 [  62  192]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.207911714911,0.903662109375,0.907016,0.898933,0.900538,0.300966590643,0.850360576923,0.278182,0.602362,0.488506,"[[2677  397]
 [ 101  153]]"
256,relu,relu,True,0.001,50,74,254,"[1, 2, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.150335296988,0.927392578125,0.93782,0.915043,0.919509,0.320379018784,0.899939903846,0.425891,0.893701,0.732731,"[[2768  306]
 [  27  227]]"
256,relu,relu,True,0.001,50,74,254,"[1, 8, 8]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.124331943691,0.952783203125,0.950312,0.955244,0.954254,0.367721110582,0.87109375,0.34676,0.779528,0.623819,"[[2701  373]
 [  56  198]]"
256,relu,relu,True,0.001,50,74,254,"[1, 2, 2]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.0594678223133,0.99248046875,0.988963,0.996034,0.994612,0.710308074951,0.857572115385,0.328125,0.826772,0.634058,"[[2644  430]
 [  44  210]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 4]",0.0,0.001,0.001,78,3,adam,sigmoid,same,234,True,0.215177893639,0.9,0.926534,0.868279,0.879337,0.274127781391,0.875,0.330544,0.622047,0.528782,"[[2754  320]
 [  96  158]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.001,74,3,adam,sigmoid,same,234,True,0.101677469909,0.94599609375,0.947772,0.943688,0.944502,0.435321956873,0.880108173077,0.364486,0.767717,0.628627,"[[2734  340]
 [  59  195]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.001,76,3,adam,sigmoid,same,234,True,0.227529630065,0.916625976562,0.952579,0.876408,0.890652,0.273188710213,0.906550480769,0.439746,0.818898,0.698455,"[[2809  265]
 [  46  208]]"
256,relu,relu,True,0.001,50,74,254,"[1, 4, 8]",0.0,0.001,0.001,80,3,adam,sigmoid,same,234,True,,,,,,,,,,,
