optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.001,100,128,True,True,tanh,True,False,sigmoid,38,12,linear,tanh,0.001,0.01,40,28,2.43860054016,0.856563746929,0.766639173031,0.635340034962,2.43605589867,0.861531794071,0.768415153027,0.63742595911
sgd,3,0.01,100,512,True,True,tanh,False,False,sigmoid,38,15,linear,sigmoid,0.0001,0.01,50,40,0.539788961411,0.6959207654,0.730024158955,0.808484733105,0.539123535156,0.696859240532,0.731282532215,0.813420593739
sgd,3,0.001,100,256,False,False,sigmoid,True,False,sigmoid,32,1,relu,softmax,0.01,0.0001,60,34,0.693172812462,0.773722648621,0.505573570728,0.00339612970129,0.693229854107,0.814814805984,0.503348231316,0.00352169037797
rmsprop,3,0.01,100,128,False,False,relu,True,True,sigmoid,38,12,sigmoid,sigmoid,0.001,0.01,40,32,926.512390137,0.495356857777,0.495356857777,1.0,926.512939453,0.498007029295,0.498007029295,1.0
sgd,3,0.01,100,512,True,False,sigmoid,True,False,sigmoid,38,6,sigmoid,sigmoid,0.01,0.01,50,26,1.16029846668,0.495458304882,0.495442718267,0.999903857708,1.16030704975,0.497192144394,0.497151702642,0.999836325645
adam,3,0.001,100,256,True,True,tanh,True,True,sigmoid,40,1,softmax,sigmoid,0.01,0.001,50,32,0.734214842319,0.0,0.50457316637,0.0,0.734237849712,0.0,0.501913249493,0.0
sgd,3,0.001,100,512,True,True,sigmoid,True,True,sigmoid,38,12,relu,softmax,0.01,0.0001,20,30,20.0267696381,0.491503119469,0.487868398428,0.969461023808,20.0266704559,0.494176357985,0.491373687983,0.972176730633
rmsprop,3,0.001,100,256,False,True,softmax,False,True,sigmoid,26,18,tanh,tanh,0.01,0.0,60,28,0.833747506142,0.933007240295,0.569534420967,0.140694648027,0.83591657877,0.925026416779,0.566167116165,0.140227302909
rmsprop,3,0.001,100,128,False,False,sigmoid,False,True,sigmoid,44,9,sigmoid,softmax,0.001,0.0,30,40,0.696824371815,0.0,0.504548072815,0.0,0.696854054928,0.0,0.501993000507,0.0
rmsprop,3,0.1,100,128,False,False,tanh,True,True,sigmoid,36,12,linear,tanh,0.001,0.0001,40,42,148.471069336,0.0,0.504754066467,0.0,148.476028442,0.0,0.501993000507,0.0
rmsprop,3,0.1,100,1024,False,True,softmax,False,True,sigmoid,34,9,tanh,relu,0.01,0.0,30,40,21.6503105164,0.495325297117,0.495325297117,1.0,21.6482830048,0.497233062983,0.497233062983,1.0
sgd,3,0.01,100,1024,True,False,sigmoid,True,False,sigmoid,42,9,relu,tanh,0.1,0.001,30,30,0.4879373312,0.855450630188,0.793609142303,0.702190220356,0.487400025129,0.8536439538,0.791829407215,0.70163667202
sgd,3,0.01,100,128,True,False,tanh,False,True,sigmoid,34,6,relu,sigmoid,0.0,0.1,20,26,408.155975342,0.819672107697,0.506893396378,0.00480245891958,408.156463623,0.850000023842,0.50422513485,0.00544261233881
sgd,3,0.01,100,256,False,True,softmax,True,True,sigmoid,38,1,tanh,linear,0.01,0.01,40,40,0.861129045486,0.930652320385,0.547557771206,0.0941594839096,0.861150622368,0.925686597824,0.544005095959,0.0917240306735
sgd,3,0.1,100,512,True,False,softmax,True,True,sigmoid,44,18,linear,relu,0.001,0.01,30,34,110.84778595,0.0,0.504636704922,0.0,110.847877502,0.0,0.502766907215,0.0
rmsprop,3,0.001,100,512,False,False,sigmoid,True,False,sigmoid,28,6,softmax,linear,0.0,0.0,40,36,0.693002104759,0.639639616013,0.505414783955,0.00227724667639,0.693054199219,0.692307710648,0.503173828125,0.00147299503442
sgd,3,0.001,100,512,False,True,relu,False,True,sigmoid,24,12,softmax,sigmoid,0.001,0.0,30,26,1.99697887897,0.0,0.504303216934,0.0,1.99697101116,0.0,0.502766907215,0.0
adam,3,0.001,75,128,False,True,softmax,True,True,sigmoid,38,3,tanh,relu,0.0,0.001,60,40,1.24375486374,0.499023020267,0.501438379288,0.993525862694,1.26976847649,0.491848021746,0.493039786816,0.990884125233
rmsprop,3,0.1,75,128,False,True,tanh,True,True,sigmoid,44,9,relu,softmax,0.0001,0.1,50,30,2270.99511719,0.0,0.503215253353,0.0,2270.98510742,0.0,0.509161949158,0.0
adam,3,0.01,75,512,True,False,relu,True,True,sigmoid,30,21,tanh,relu,0.0,0.0001,60,40,6.55587053299,0.496699988842,0.4965749681,0.999031424522,6.57344341278,0.490553736687,0.490306705236,0.998820900917
sgd,3,0.001,100,512,True,True,relu,True,False,sigmoid,44,9,tanh,softmax,0.0001,0.0001,20,42,2.65145969391,0.937729358673,0.617810249329,0.247437059879,2.64392113686,0.939476549625,0.625795722008,0.253942519426
