meier_load,use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f3,val_loss,val_accuracy,val_precision,val_recall,val_f3,confusion_matrix
False,True,460,sigmoid,sgd,2,0.1,0.001,0.1,"[1, 2]",50,0.001,True,256,relu,inf,0.507002667683,1.0,4.8e-05,5.4e-05,4641.1875,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,140,sigmoid,adam,3,0.01,0.1,0.3,"[1, 4, 4]",50,0.001,False,256,softmax,596.0078125,0.507340283091,0.0,0.0,0.0,596.0078125,0.483654919471,0.0,0.0,0.0,"[[3033    0]
 [3238    0]]"
False,True,480,sigmoid,sgd,1,0.01,0.1,0.001,[1],50,0,True,128,relu,inf,0.512480945122,0.77305,0.015798,0.017513,33.8198013306,0.4878125,0.729167,0.010606,0.011765,"[[3087   13]
 [3265   35]]"
False,False,350,sigmoid,adam,1,0.0001,0.0,0.0,[1],50,0.1,True,128,sigmoid,0.682870984077,0.578410823171,0.610282,0.400889,0.415132,0.697836518288,0.51609375,0.552401,0.324242,0.338212,"[[2233  867]
 [2230 1070]]"
False,False,290,sigmoid,adam,1,0.01,0.0,0.0001,[1],50,0.2,False,128,relu,,,,,,,,,,,
False,False,390,sigmoid,sgd,5,0.0001,0.2,0.01,"[1, 4, 4, 4, 4]",50,0.001,True,64,softmax,3339.27856445,0.50715848554,0.0,0.0,0.0,3339.30249023,0.483676311311,0.0,0.0,0.0,"[[3126    0]
 [3337    0]]"
False,False,410,sigmoid,adam,4,0.1,0.2,0.1,"[1, 4, 4, 4]",50,0.1,True,256,tanh,3420.92944336,0.493021150915,0.493021,1.0,0.906757,3420.90795898,0.515625,0.515625,1.0,0.914127,"[[   0 3100]
 [   0 3300]]"
False,True,210,sigmoid,sgd,1,0.001,0.1,0.2,[1],50,0.2,True,256,tanh,76.3036956787,0.507764862805,0.677419,0.003044,0.00338,76.3012466431,0.48546875,0.705882,0.003636,0.004038,"[[3095    5]
 [3288   12]]"
False,True,80,sigmoid,adam,1,0.01,0.1,0.1,[1],50,0,False,128,relu,405.097198486,0.507955411585,0.797101,0.002657,0.002951,404.918548584,0.484375,0.5,0.001818,0.002019,"[[3094    6]
 [3294    6]]"
False,True,310,sigmoid,adam,5,0.01,0.001,0.001,"[1, 4, 4, 4, 4]",50,0,False,256,tanh,1.41101336479,0.64169683689,0.700738,0.476931,0.492666,1.44306838512,0.58453125,0.650682,0.419394,0.434851,"[[2357  743]
 [1916 1384]]"
False,False,170,sigmoid,sgd,1,0.01,0.0,0.0001,[1],50,0.1,True,64,tanh,3.08574867249,0.512414383562,0.768856,0.015249,0.016906,3.0864918232,0.486231435644,0.707317,0.008688,0.00964,"[[3114   12]
 [3309   29]]"
False,True,310,sigmoid,adam,1,0.001,0.3,0.0001,[1],50,0.2,True,256,softmax,0.745951533318,0.507002667683,1.0,4.8e-05,5.4e-05,0.746656656265,0.483654919471,0.0,0.0,0.0,"[[3033    0]
 [3238    0]]"
False,True,580,sigmoid,rmsprop,2,0.0001,0.0,0.2,"[1, 4]",50,0.2,True,256,relu,118.094200134,0.506978849085,0.0,0.0,0.0,118.093086243,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,520,sigmoid,rmsprop,2,0.001,0.3,0.1,"[1, 2]",50,0.2,False,128,relu,499.401367188,0.507002667683,1.0,4.8e-05,5.4e-05,498.994476318,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,120,sigmoid,adam,5,0.01,0.0,0.2,"[1, 4, 4, 4, 4]",50,0.1,False,64,sigmoid,703.435668945,0.49284151446,0.492842,1.0,0.906696,703.430664062,0.516398514851,0.516399,1.0,0.91437,"[[   0 3126]
 [   0 3338]]"
False,False,220,sigmoid,rmsprop,2,0.01,0.2,0.001,"[1, 1]",50,0.01,True,64,relu,inf,0.50706873572,0.0,0.0,0.0,40.7573318481,0.483676311311,0.0,0.0,0.0,"[[3126    0]
 [3337    0]]"
False,True,610,sigmoid,adam,5,0.01,0.0001,0.0,"[1, 4, 4, 4, 4]",50,0.001,False,64,sigmoid,inf,0.539502473364,0.565955,0.281571,0.296468,inf,0.515625,0.572226,0.245656,0.260524,"[[2513  613]
 [2518  820]]"
False,True,620,sigmoid,adam,3,0.0001,0.2,0.2,"[1, 2, 4]",50,0.2,True,64,relu,37.8435516357,0.50715848554,0.0,0.0,0.0,37.8430595398,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,False,360,sigmoid,sgd,4,0.0001,0.3,0.0,"[1, 2, 2, 2]",50,0.001,True,128,tanh,757.523010254,0.534110411899,0.610526,0.151458,0.163772,757.526489258,0.5109375,0.615489,0.137273,0.148837,"[[2817  283]
 [2847  453]]"
False,False,130,sigmoid,adam,4,0.1,0.001,0.2,"[1, 1, 1, 1]",50,0.01,True,64,tanh,4884.17871094,0.492907463823,0.492907,1.0,0.906719,4884.15087891,0.516323688689,0.516324,1.0,0.914347,"[[   0 3126]
 [   0 3337]]"
False,True,640,sigmoid,adam,5,0.1,0.0,0.1,"[1, 2, 4, 6, 8]",50,0.001,True,64,relu,,,,,,,,,,,
False,True,60,sigmoid,rmsprop,2,0.01,0.01,0.0,"[1, 2]",50,0,True,128,relu,inf,0.507079519451,0.0,0.0,0.0,0.758709490299,0.484294421003,0.0,0.0,0.0,"[[3099    0]
 [3300    0]]"
False,False,410,sigmoid,sgd,5,0.01,0.01,0.0001,"[1, 2, 4, 4, 2]",50,0.01,True,64,tanh,55.2790260315,0.509061073059,0.8125,0.005019,0.005572,55.2796211243,0.484993811881,0.736842,0.004194,0.004657,"[[3121    5]
 [3324   14]]"
False,False,340,sigmoid,adam,3,0.0001,0.3,0.001,"[1, 1, 1]",50,0.2,False,256,softmax,5.58301448822,0.506978849085,0.0,0.0,0.0,5.58357572556,0.483654919471,0.0,0.0,0.0,"[[3033    0]
 [3238    0]]"
False,True,250,sigmoid,adam,3,0.01,0.001,0.0001,"[1, 4, 4]",50,0.2,False,128,softmax,1.34499740601,0.493021150915,0.493021,1.0,0.906757,1.34439086914,0.515625,0.515625,1.0,0.914127,"[[   0 3100]
 [   0 3300]]"
False,True,440,sigmoid,sgd,1,0.1,0.2,0.2,[1],50,0.01,True,256,relu,inf,0.507074123476,0.666667,0.000386,0.000429,inf,0.483973847871,0.666667,0.001235,0.001372,"[[3031    2]
 [3234    4]]"
False,True,120,sigmoid,rmsprop,5,0.1,0.1,0.01,"[1, 2, 2, 2, 2]",50,0.2,False,64,softmax,1772.13562012,0.49284151446,0.492842,1.0,0.906696,1772.10620117,0.516398514851,0.516399,1.0,0.91437,"[[   0 3126]
 [   0 3338]]"
False,False,190,sigmoid,sgd,3,0.1,0.0001,0.001,"[1, 2, 4]",50,0.01,False,256,relu,1.04651427269,0.507340283091,0.0,0.0,0.0,1.04711270332,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,70,sigmoid,rmsprop,5,0.01,0.001,0.0,"[1, 4, 4, 4, 4]",50,0.001,True,256,relu,inf,0.506978849085,0.0,0.0,0.0,0.728812634945,0.483654919471,0.0,0.0,0.0,"[[3033    0]
 [3238    0]]"
False,False,540,sigmoid,sgd,4,0.0001,0.0,0.3,"[1, 2, 2, 2]",50,0.001,True,128,relu,1929.77075195,0.506978849085,0.0,0.0,0.0,1929.76806641,0.484294421003,0.0,0.0,0.0,"[[3099    0]
 [3300    0]]"
False,False,520,sigmoid,sgd,2,0.1,0.2,0.3,"[1, 1]",50,0.1,True,128,softmax,44674.0039062,0.506978849085,0.0,0.0,0.0,44674.0234375,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,100,sigmoid,sgd,3,0.0001,0.0,0.0,"[1, 1, 1]",50,0.1,False,64,tanh,0.700097560883,0.522205826352,0.516768,0.472477,0.476562,0.725881278515,0.51067450495,0.530605,0.454464,0.46108,"[[1784 1342]
 [1821 1517]]"
False,True,240,sigmoid,adam,2,0.0001,0.2,0.01,"[1, 1]",50,0.1,False,256,softmax,15.2298746109,0.506978849085,0.0,0.0,0.0,15.2306261063,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,620,sigmoid,sgd,1,0.01,0.1,0.2,[1],50,0.001,True,64,relu,inf,0.507348744292,0.833333,0.000483,0.000536,2235.50561523,0.483910891089,1.0,0.000599,0.000666,"[[3126    0]
 [3336    2]]"
False,False,500,sigmoid,adam,2,0.01,0.001,0.1,"[1, 1]",50,0,True,256,tanh,1188.48205566,0.50726855394,0.2,4.9e-05,5.4e-05,1188.47839355,0.483814383671,0.666667,0.000618,0.000686,"[[3032    1]
 [3236    2]]"
False,False,390,sigmoid,sgd,2,0.01,0.0,0.01,"[1, 4]",50,0,True,128,relu,2.59744405746,0.506978849085,0.0,0.0,0.0,2.59803652763,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,450,sigmoid,sgd,3,0.1,0.001,0.1,"[1, 1, 1]",50,0.3,False,256,relu,inf,0.507050304878,0.588235,0.000483,0.000537,4441.61083984,0.48515625,0.857143,0.001818,0.00202,"[[3099    1]
 [3294    6]]"
False,True,240,sigmoid,rmsprop,3,0.001,0.1,0.3,"[1, 4, 8]",50,0.001,False,256,relu,963.52545166,0.492659716909,0.49266,1.0,0.906635,963.426757812,0.516345080529,0.516345,1.0,0.914353,"[[   0 3033]
 [   0 3238]]"
False,False,570,sigmoid,rmsprop,1,0.01,0.0001,0.2,[1],50,0.2,False,64,tanh,2105.42773438,0.49236586758,0.492591,0.997732,0.904933,2105.41113281,0.516089108911,0.516259,0.998802,0.913425,"[[   2 3124]
 [   4 3334]]"
False,False,630,sigmoid,adam,3,0.001,0.1,0.001,"[1, 2, 4]",50,0.001,True,256,relu,2.50580859184,0.506978849085,0.0,0.0,0.0,2.49296569824,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,590,sigmoid,adam,2,0.01,0.3,0.3,"[1, 2]",50,0.1,False,64,relu,2705.2277832,0.492912861492,0.492877,1.0,0.906708,2704.73583984,0.516323688689,0.516324,1.0,0.914347,"[[   0 3126]
 [   0 3337]]"
False,False,340,sigmoid,sgd,2,0.001,0.01,0.001,"[1, 2]",50,0.3,False,128,relu,inf,0.527796303354,0.761677,0.061452,0.067674,73.0771865845,0.5009375,0.757282,0.047273,0.052163,"[[3050   50]
 [3144  156]]"
False,False,500,sigmoid,adam,2,0.0001,0.2,0.001,"[1, 2]",50,0.001,False,256,sigmoid,37.1601676941,0.506978849085,0.0,0.0,0.0,37.1581001282,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,650,sigmoid,sgd,1,0.0001,0.1,0.0001,[1],50,0.1,True,128,relu,inf,0.534227324695,0.627337,0.136142,0.147707,129.748504639,0.51125,0.649826,0.11303,0.123208,"[[2899  201]
 [2927  373]]"
False,True,90,sigmoid,sgd,1,0.01,0.2,0.1,[1],50,0.1,False,128,tanh,47.7109107971,0.525223894817,0.529616,0.330886,0.343786,47.7163619995,0.53015625,0.571151,0.356364,0.370289,"[[2217  883]
 [2124 1176]]"
False,False,490,sigmoid,adam,3,0.001,0.001,0.1,"[1, 1, 1]",50,0.001,True,128,relu,27.4931983948,0.506978849085,0.0,0.0,0.0,27.4928073883,0.484294421003,0.0,0.0,0.0,"[[3099    0]
 [3300    0]]"
False,False,570,sigmoid,sgd,4,0.0001,0.001,0.001,"[1, 2, 4, 4]",50,0.01,False,256,relu,inf,0.540957345065,0.564864,0.297112,0.311897,266.126953125,0.51703125,0.562763,0.283939,0.298741,"[[2372  728]
 [2363  937]]"
False,False,140,sigmoid,rmsprop,3,0.001,0.0,0.0001,"[1, 2, 2]",50,0,True,128,relu,0.822370290756,0.506978849085,0.0,0.0,0.0,0.822888016701,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,510,sigmoid,sgd,1,0.01,0.001,0.0,[1],50,0.1,True,64,softmax,1.65886962414,0.50715848554,0.0,0.0,0.0,1.6593786478,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,470,sigmoid,sgd,1,0.01,0.0,0.0,[1],50,0.001,True,256,relu,0.691787660122,0.513052591463,0.736549,0.01918,0.021249,0.693212866783,0.486875,0.637931,0.011212,0.012434,"[[3079   21]
 [3263   37]]"
False,True,270,sigmoid,rmsprop,4,0.0001,0.0001,0.3,"[1, 2, 2, 2]",50,0.2,True,64,relu,84.2291107178,0.507092536177,0.0,0.0,0.0,84.228553772,0.483676311311,0.0,0.0,0.0,"[[3126    0]
 [3337    0]]"
False,True,690,sigmoid,adam,1,0.001,0.001,0.001,[1],50,0.01,True,256,relu,1.6393532753,0.50757938026,0.5625,0.002184,0.002426,1.63981115818,0.484771168873,0.705882,0.003706,0.004115,"[[3028    5]
 [3226   12]]"
False,True,580,sigmoid,sgd,3,0.1,0.001,0.3,"[1, 2, 4]",50,0.3,True,256,softmax,46982.9960938,0.506978849085,0.0,0.0,0.0,46982.9882812,0.483654919471,0.0,0.0,0.0,"[[3033    0]
 [3238    0]]"
False,False,600,sigmoid,sgd,4,0.1,0.1,0.001,"[1, 2, 4, 6]",50,0.01,True,64,softmax,1.86705183983,0.49284151446,0.492842,1.0,0.906696,1.86688125134,0.516398514851,0.516399,1.0,0.91437,"[[   0 3126]
 [   0 3338]]"
False,False,210,sigmoid,rmsprop,1,0.01,0.3,0.1,[1],50,0.01,False,64,relu,inf,0.49284151446,0.492841,0.999903,0.906625,1919.08398438,0.516398514851,0.516399,1.0,0.91437,"[[   0 3126]
 [   0 3338]]"
