optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.0001,50,1024,True,160,same,sigmoid,0.1,0.1,38,64,0.5,"[1, 1, 1]",sigmoid,,,,,,,,
rmsprop,2,0.0001,50,512,True,400,same,sigmoid,0.3,0.01,46,32,0.3,"[1, 2]",relu,10.3752565384,0.522897839546,0.511022806168,0.685797929764,10.3755760193,0.52473962307,0.512069642544,0.686108231544
sgd,1,0.001,50,256,False,280,same,sigmoid,0.1,0.3,98,16,0.5,[1],tanh,0.902475237846,0.514519929886,0.507792949677,0.413766086102,0.903055250645,0.517317712307,0.512711882591,0.415587842464
sgd,1,0.0001,50,512,True,100,same,sigmoid,0.001,0.0001,16,42,0.3,[1],relu,0.702909290791,0.509534358978,0.500695109367,0.414664775133,0.701218187809,0.512239634991,0.500494539738,0.404907971621
sgd,2,0.1,50,512,True,200,same,sigmoid,0.2,0.2,84,48,0.2,"[1, 0.5]",tanh,,,,,,,,
sgd,4,0.0001,50,256,True,270,same,sigmoid,0.0001,0.001,96,18,0.2,"[1, 4, 8, 8]",softmax,1.0387250185,0.491622120142,0.491622120142,1.0,1.03872764111,0.491145849228,0.491145849228,1.0
sgd,2,0.001,50,128,True,240,same,sigmoid,0.001,0.2,92,48,0.01,"[1, 1]",tanh,5.19168043137,0.514293015003,0.511754453182,0.259757190943,5.19179391861,0.506659865379,0.512755095959,0.257560223341
rmsprop,5,0.001,50,128,False,230,same,sigmoid,0.01,0.3,74,50,0.0,"[1, 0.5, 0.25, 0.25, 0.5]",relu,948.46887207,0.526716172695,0.517858088017,0.52998226881,948.469238281,0.518570721149,0.506110012531,0.522195994854
sgd,1,0.001,50,64,False,240,same,sigmoid,0.1,0.1,60,20,0.0,[1],softmax,0.70527368784,0.508285582066,0.0,0.0,0.705340027809,0.500768482685,0.0,0.0
sgd,5,0.1,50,64,True,130,same,sigmoid,0.1,0.3,30,42,0.001,"[1, 4, 8, 8, 4]",softmax,22.1300029755,0.508541345596,0.0,0.0,22.1299495697,0.510374009609,0.0,0.0
sgd,1,0.001,50,128,True,110,same,sigmoid,0.2,0.1,72,66,0.1,[1],softmax,0.728533327579,0.490881145,0.490881145,1.0,0.728566348553,0.485015392303,0.485015392303,1.0
sgd,3,0.01,50,64,True,240,same,sigmoid,0.001,0.0001,50,50,0.001,"[1, 0.5, 0.25]",relu,1.35228300095,0.529025197029,0.510808885098,0.981316626072,1.3502471447,0.531762301922,0.511650085449,0.981186330318
adam,1,0.01,50,256,True,110,same,sigmoid,0.2,0.01,44,76,0.3,[1],relu,,,,,,,,
rmsprop,4,0.1,50,64,True,240,same,sigmoid,0.0001,0.01,6,58,0.3,"[1, 1, 1, 1]",relu,,,,,,,,
sgd,2,0.0001,50,256,True,120,same,sigmoid,0.3,0.2,26,44,0.3,"[1, 4]",relu,,,,,,,,
