optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,5,0.01,50,256,False,200,same,sigmoid,0.2,0.001,36,76,0.01,"[1, 2, 4, 4, 2]",softmax,1.33647811413,0.508172273636,0.0,0.0,1.33648085594,0.508072972298,0.0,0.0
rmsprop,1,0.001,50,128,False,170,same,sigmoid,0.2,0.01,78,10,0.01,[1],softmax,0.700931310654,0.508478462696,0.0,0.0,0.700874447823,0.510245919228,0.0,0.0
sgd,1,0.0001,50,128,True,110,same,sigmoid,0.2,0.01,56,60,0.01,[1],relu,2.53558158875,0.511962115765,0.503893792629,0.468632757664,2.53669333458,0.508965194225,0.498595505953,0.464173614979
rmsprop,3,0.01,50,64,True,130,same,sigmoid,0.001,0.01,62,44,0.3,"[1, 0.5, 0.25]",softmax,62.4185371399,0.508490204811,0.0,0.0,62.4187812805,0.498847365379,0.0,0.0
sgd,1,0.001,50,128,True,260,same,sigmoid,0.001,0.3,6,76,0.2,[1],relu,0.738212764263,0.508990764618,0.77083337307,0.00192758534104,0.738310337067,0.500128090382,0.58333337307,0.00179257371929
rmsprop,2,0.01,50,64,True,180,same,sigmoid,0.0001,0.001,74,52,0.1,"[1, 4]",softmax,0.982169389725,0.508439064026,0.0,0.0,0.98236656189,0.500256180763,0.0,0.0
sgd,1,0.01,50,64,True,250,same,sigmoid,0.1,0.001,52,68,0.01,[1],tanh,0.678831875324,0.567026376724,0.53754734993,0.849885463715,0.678949117661,0.564677298069,0.536557197571,0.846173882484
sgd,1,0.001,50,128,False,160,same,sigmoid,0.1,0.1,60,78,0.3,[1],relu,0.927768468857,0.514677226543,0.508467197418,0.36475494504,0.927790164948,0.515496969223,0.505677819252,0.3735255301
sgd,2,0.01,50,128,True,130,same,sigmoid,0.01,0.0001,42,38,0.001,"[1, 2]",relu,0.976979017258,0.512551248074,0.501996219158,0.989833652973,0.975060880184,0.513319730759,0.501852810383,0.990595579147
sgd,1,0.1,50,64,False,260,same,sigmoid,0.1,0.0001,24,32,0.0,[1],tanh,0.675372481346,0.568151593208,0.535192131996,0.921944141388,0.671801626682,0.573770523071,0.538098156452,0.922413766384
sgd,3,0.01,50,256,True,180,same,sigmoid,0.1,0.2,46,24,0.01,"[1, 4, 8]",relu,2.71417140961,0.523488879204,0.526820778847,0.30137488246,2.71389937401,0.530989587307,0.538816988468,0.309283822775
sgd,2,0.0001,50,256,False,130,same,sigmoid,0.001,0.1,92,56,0.01,"[1, 2]",sigmoid,109.007514954,0.508275091648,0.54545456171,0.000313561526127,109.007377625,0.509244799614,0.25,0.000265463226242
sgd,2,0.01,50,128,True,140,same,sigmoid,0.2,0.0001,88,48,0.01,"[1, 4]",relu,0.685896873474,0.551255106926,0.523582398891,0.971927046776,0.685528337955,0.548924207687,0.520405292511,0.970094382763
sgd,2,0.001,50,256,True,250,same,sigmoid,0.3,0.0001,6,62,0.1,"[1, 1]",softmax,14.3638629913,0.508660554886,0.0,0.0,14.3638496399,0.511979222298,0.0,0.0
sgd,4,0.01,50,256,False,240,same,sigmoid,0.0001,0.1,64,14,0.3,"[1, 0.5, 0.25, 0.25]",softmax,8.92112731934,0.50830078125,0.0,0.0,8.92104148865,0.51106774807,0.0,0.0
rmsprop,5,0.0001,50,256,False,110,same,sigmoid,0.3,0.001,42,22,0.1,"[1, 1, 1, 1, 1]",relu,0.682802736759,0.569721400738,0.535355389118,0.934293210506,0.684582293034,0.568359375,0.534142673016,0.934926986694
rmsprop,5,0.1,50,64,False,190,same,sigmoid,0.1,0.1,94,60,0.001,"[1, 4, 8, 8, 4]",tanh,,,,,,,,
sgd,5,0.0001,50,128,False,120,same,sigmoid,0.3,0.2,24,18,0.0,"[1, 1, 1, 1, 1, 1]",relu,,,,,,,,
sgd,5,0.001,50,64,False,170,same,sigmoid,0.3,0.3,64,48,0.3,"[1, 4, 8, 8, 4, 1]",relu,,,,,,,,
sgd,4,0.1,50,128,False,280,same,sigmoid,0.01,0.3,82,54,0.3,"[1, 1, 1, 1, 1, 1]",tanh,,,,,,,,
sgd,1,0.0001,50,256,True,190,same,sigmoid,0.3,0.001,18,22,0.1,"[1, 0.5, 0.25, 0.25, 0.5, 1]",tanh,,,,,,,,
adam,1,0.0001,50,256,True,170,same,sigmoid,0.01,0.1,94,44,0.1,"[1, 4, 8, 8, 4, 1]",relu,,,,,,,,
sgd,2,0.001,50,256,False,240,same,sigmoid,0.001,0.001,90,72,0.01,"[1, 0.5, 0.25, 0.25, 0.5, 1]",tanh,,,,,,,,
rmsprop,3,0.01,50,128,True,260,same,sigmoid,0.3,0.001,44,28,0.0,"[1, 0.5, 0.25]",relu,,,,,,,,
rmsprop,4,0.1,50,256,True,260,same,sigmoid,0.2,0.2,3,66,0.01,"[1, 4, 8, 8]",relu,,,,,,,,
sgd,1,0.001,50,128,True,290,same,sigmoid,0.3,0.0001,78,76,0.001,[1],relu,,,,,,,,
rmsprop,3,0.01,50,256,False,230,same,sigmoid,0.2,0.2,72,76,0.3,"[1, 1, 1]",relu,,,,,,,,
adam,3,0.001,50,64,False,200,same,sigmoid,0.3,0.1,45,36,0.2,"[1, 1, 1]",relu,,,,,,,,
sgd,1,0.01,50,256,False,220,same,sigmoid,0.0001,0.2,84,66,0.1,[1],tanh,,,,,,,,
rmsprop,3,0.0001,50,64,True,250,same,sigmoid,0.2,0.001,66,60,0.001,"[1, 0.5, 0.25]",relu,,,,,,,,
sgd,5,0.0001,50,256,False,160,same,sigmoid,0.3,0.1,30,24,0.0,"[1, 4, 8, 8, 4]",tanh,,,,,,,,
sgd,2,0.0001,50,64,False,290,same,sigmoid,0.001,0.001,30,74,0.3,"[1, 2]",relu,,,,,,,,
sgd,4,0.01,50,128,False,200,same,sigmoid,0.0001,0.2,69,22,0.001,"[1, 1, 1, 1]",tanh,,,,,,,,
rmsprop,1,0.0001,50,256,False,200,same,sigmoid,0.3,0.0001,72,32,0.2,[1],relu,,,,,,,,
sgd,1,0.01,50,256,True,270,same,sigmoid,0.2,0.01,99,42,0.01,[1],relu,,,,,,,,
sgd,4,0.01,50,64,True,290,same,sigmoid,0.1,0.0001,96,26,0.3,"[1, 2, 4, 4]",relu,,,,,,,,
sgd,3,0.01,50,256,True,130,same,sigmoid,0.2,0.2,18,48,0.0,"[1, 0.5, 0.25]",tanh,,,,,,,,
rmsprop,2,0.0001,50,256,False,240,same,sigmoid,0.01,0.2,6,58,0.0,"[1, 4]",tanh,,,,,,,,
sgd,5,0.0001,50,128,True,270,same,sigmoid,0.01,0.1,30,70,0.1,"[1, 0.75, 0.5, 0.5, 0.75]",relu,,,,,,,,
sgd,1,0.001,50,64,True,180,same,sigmoid,0.001,0.2,48,50,0.1,[1],tanh,,,,,,,,
rmsprop,2,0.0001,50,64,True,160,same,sigmoid,0.001,0.1,42,44,0.1,"[1, 4]",relu,,,,,,,,
adam,5,0.01,50,128,True,290,same,sigmoid,0.3,0.1,3,70,0,"[1, 2, 4, 6, 8]",relu,2.01151657104,0.508563220501,0.0,0.0,2.01149725914,0.509605586529,0.0,0.0
sgd,3,0.001,50,128,False,160,same,sigmoid,0.2,0.2,51,16,0.01,"[1, 2, 4]",tanh,0.89031791687,0.508870899677,0.0,0.0,0.890347480774,0.508068680763,0.0,0.0
sgd,3,0.1,50,256,False,280,same,sigmoid,0.3,0.01,99,46,0.01,"[1, 2, 4]",tanh,1.1395419836,0.508951544762,0.506352961063,0.0562849827111,1.13971281052,0.5078125,0.492857158184,0.0548489652574
rmsprop,4,0.001,50,64,False,230,same,sigmoid,0.2,0.1,30,42,0.3,"[1, 2, 4, 4]",tanh,2.61275291443,0.508881986141,0.0,0.0,2.6127345562,0.51114243269,0.0,0.0
adam,2,0.01,50,64,True,230,same,sigmoid,0.1,0.0001,54,14,0.2,"[1, 4]",tanh,0.700368106365,0.508677184582,0.0,0.0,0.700075149536,0.509733617306,0.0,0.0
sgd,2,0.0001,50,64,True,210,same,sigmoid,0.3,0.0001,84,50,0.1,"[1, 2]",tanh,7.77438402176,0.500204801559,0.49324709177,0.631707847118,7.77314901352,0.505635261536,0.496195435524,0.648351669312
sgd,3,0.0001,50,64,True,150,same,sigmoid,0.001,0.0001,42,12,0.001,"[1, 2, 4]",tanh,0.777718544006,0.498950570822,0.488535702229,0.404841214418,0.778945803642,0.497438549995,0.498274236917,0.405826747417
rmsprop,2,0.1,50,256,False,220,same,sigmoid,0.1,0.3,60,10,0.2,"[1, 4]",tanh,19.4944839478,0.508257031441,0.0,0.0,19.4949188232,0.508072972298,0.0,0.0
sgd,5,0.0001,50,64,False,120,same,sigmoid,0.001,0.0001,84,54,0.001,"[1, 2, 4, 4, 2]",tanh,1.17677867413,0.512593448162,0.502094626427,0.825127780437,1.17179441452,0.511270523071,0.507594943047,0.820040881634
sgd,4,0.001,50,256,False,120,same,sigmoid,0.3,0.3,84,20,0.1,"[1, 2, 4, 6]",tanh,1.8473174572,0.508591413498,0.0,0.0,1.84718930721,0.511979222298,0.0,0.0
sgd,1,0.01,50,64,True,110,same,sigmoid,0.0001,0.1,36,42,0.01,[1],tanh,0.88830268383,0.53854817152,0.522322595119,0.713578820229,0.887428224087,0.540530145168,0.522774934769,0.719947516918
sgd,3,0.001,50,128,True,110,same,sigmoid,0.3,0.0001,3,18,0.01,"[1, 1, 1]",relu,0.997652888298,0.516049623489,0.504091441631,0.979563117027,0.995382010937,0.516777694225,0.504355967045,0.980458557606
sgd,5,0.0001,50,128,True,270,same,sigmoid,0.001,0.01,60,18,0.3,"[1, 2, 4, 4, 2]",tanh,6.82620048523,0.498923182487,0.490663647652,0.519645154476,6.82366323471,0.5,0.487438440323,0.520515501499
adam,3,0.0001,50,128,False,180,same,sigmoid,0.0001,0.0001,96,22,0.001,"[1, 2, 4]",tanh,0.767694652081,0.536201417446,0.521081864834,0.690778136253,0.769206166267,0.524974405766,0.511325597763,0.678870260715
sgd,2,0.1,50,256,True,210,same,sigmoid,0.3,0.3,42,50,0.001,"[1, 2]",relu,268.150421143,0.537606775761,0.532352745533,0.488619118929,268.150299072,0.529036462307,0.517898380756,0.479550927877
sgd,4,0.0001,50,128,False,200,same,sigmoid,0.2,0.001,36,76,0,"[1, 2, 4, 4]",tanh,,,,,,,,
