optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,1,0.0001,50,256,True,460,same,sigmoid,0.01,0.2,2,70,0.2,[1],relu,7.52337026596,0.855341911316,0.943798601627,0.752689242363,7.53319644928,0.850260436535,0.940826416016,0.745611727238
sgd,4,0.01,50,1024,False,200,same,sigmoid,0.001,0.3,6,42,0.001,"[1, 4, 8, 8]",softmax,1.11163520813,0.4951171875,0.4951171875,1.0,1.11161589622,0.499581485987,0.499581485987,1.0
sgd,3,0.01,50,64,False,380,same,sigmoid,0.0001,0.2,96,18,0.0,"[1, 4, 8]",softmax,3.25791168213,0.505022346973,0.0,0.0,3.25783228874,0.510289669037,0.0,0.0
sgd,4,0.01,50,1024,True,340,same,sigmoid,0.2,0.2,98,62,0.1,"[1, 2, 4, 4]",relu,58.844455719,0.634200274944,0.955821871758,0.276447147131,58.8517570496,0.635881721973,0.955795705318,0.275014132261
adam,3,0.001,50,128,True,440,same,sigmoid,0.001,0.001,26,74,0.0,"[1, 0.5, 0.25]",softmax,0.867942392826,0.504768669605,0.0,0.0,0.867870330811,0.509093284607,0.0,0.0
sgd,6,0.001,50,512,True,120,same,sigmoid,0.01,0.1,48,26,0.001,"[1, 4, 8, 8, 4, 1]",tanh,57.477230072,0.852171242237,0.864954411983,0.830794513226,57.4767799377,0.851692736149,0.862620711327,0.829883277416
sgd,6,0.001,50,64,False,140,same,sigmoid,0.001,0.2,64,76,0.2,"[1, 2, 4, 4, 2, 1]",relu,10.7083730698,0.504946231842,0.0,0.0,10.7083520889,0.509654521942,0.0,0.0
sgd,4,0.0001,50,64,False,280,same,sigmoid,0.2,0.2,66,46,0.001,"[1, 2, 4, 4]",relu,0.594006299973,0.882913947105,0.938010931015,0.817436337471,0.594302654266,0.881605744362,0.935560882092,0.81412255764
sgd,4,0.01,50,128,True,210,same,sigmoid,0.2,0.0001,20,46,0.01,"[1, 1, 1, 1]",tanh,0.194387570024,0.951324045658,0.954898118973,0.946332454681,0.188989832997,0.953253149986,0.959241986275,0.946707725525
sgd,1,0.1,50,256,True,100,same,sigmoid,0.01,0.0001,38,40,0.3,[1],tanh,0.14206969738,0.957639992237,0.956010818481,0.958557486534,0.135677173734,0.96223962307,0.955749869347,0.967024147511
sgd,4,0.01,50,256,False,110,same,sigmoid,0.3,0.01,16,52,0.1,"[1, 4, 8, 8]",tanh,0.391903430223,0.916167795658,0.952967524529,0.873492479324,0.388386964798,0.917838573456,0.949449360371,0.881489276886
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0760380849242,0.974381089211,0.990145206451,0.957769632339,0.0845447927713,0.971544802189,0.9874599576,0.954357922077
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0807505398989,0.973586857319,0.979800581932,0.966550529003,0.268267929554,0.940430939198,0.951655268669,0.926816761494
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],tanh,0.188679650426,0.955817520618,0.973273694515,0.936430692673,0.354414492846,0.924081146717,0.944877624512,0.899181127548
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.101800471544,0.966717362404,0.974959552288,0.957330167294,0.234566375613,0.937896072865,0.947148084641,0.926304996014
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],tanh,0.257517576218,0.921901166439,0.965513348579,0.873373627663,0.290018558502,0.911533594131,0.95988535881,0.857215940952
sgd,1,0.1,50,16,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.113533712924,0.966286480427,0.974540889263,0.956869125366,0.279071390629,0.942078590393,0.951819837093,0.930143296719
sgd,1,0.1,50,256,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0685118883848,0.983117878437,0.98976624012,0.975975811481,0.269522309303,0.953738927841,0.961208045483,0.944728732109
sgd,1,0.1,50,32,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,,,,,,,,
sgd,1,0.1,50,128,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0758246406913,0.976121723652,0.982046484947,0.969470322132,0.200100466609,0.948035478592,0.95665794611,0.937563955784
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,1e-05,[1],relu,0.111039415002,0.961774408817,0.979554831982,0.942423939705,0.227238699794,0.939036786556,0.956324994564,0.918884336948
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.01,[1],relu,0.472248643637,0.803295314312,0.982999384403,0.613103151321,0.483349263668,0.806083679199,0.983726620674,0.618730783463
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.005,[1],relu,0.168399363756,0.951685726643,0.971318483353,0.929822742939,0.248039409518,0.938529789448,0.955549716949,0.918628454208
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.0001,[1],relu,0.102555796504,0.966159701347,0.970556259155,0.96076220274,0.19173245132,0.943726241589,0.948472321033,0.937308073044
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0734898075461,0.977515876293,0.975019156933,0.979663968086,0.301761507988,0.94144487381,0.944989621639,0.936284542084
sgd,1,0.1,50,64,False,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.312868416309,0.908694565296,0.966533839703,0.844739258289,0.331444323063,0.905449926853,0.960664331913,0.843654036522
