batch_size,epochs,learning_rate,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
256,100,1e-05,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.625540435314,0.99959653616,0.997366249561,0.996424913406,0.650161504745,0.94408249855,0.827373802662,0.786699831486
256,100,0.001,adam,26,20,sigmoid,tanh,1,40,sigmoid,softmax,False,True,0.362387150526,0.876489639282,0.840613186359,0.883929789066,0.43854111433,0.841951429844,0.792818486691,0.847093403339
256,100,0.001,adam,26,20,sigmoid,tanh,3,40,sigmoid,softmax,False,True,0.155585810542,0.99589329958,0.988665938377,0.986940979958,0.356143414974,0.941532254219,0.862229585648,0.845057666302
256,100,0.001,adam,26,20,sigmoid,tanh,9,40,sigmoid,softmax,False,True,0.131726503372,0.992724955082,0.979403436184,0.976038277149,0.340979218483,0.936113119125,0.873197138309,0.868355572224
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.134153589606,0.991665542126,0.973129749298,0.967561781406,0.326457828283,0.956940233707,0.877854585648,0.854557812214
256,80,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.111053861678,0.993451654911,0.984996438026,0.9838103652,0.35683837533,0.935029625893,0.864933907986,0.856141149998
256,90,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.100727833807,0.992546737194,0.983546376228,0.982516527176,0.351054608822,0.927949726582,0.867638230324,0.868129372597
256,110,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.129836410284,0.994894266129,0.986298561096,0.984353363514,0.34002700448,0.940139114857,0.868239164352,0.856141149998
256,120,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.139707162976,0.992077410221,0.98481887579,0.984939217567,0.330053508282,0.926685512066,0.879657447338,0.889165341854
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,relu,False,True,0.0545761957765,0.994758665562,0.98100143671,0.976423740387,0.429860562086,0.940746188164,0.87890625,0.872653245926
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,sigmoid,False,True,0.0662629827857,0.990444540977,0.9765625,0.973958551884,0.456385910511,0.927731513977,0.860426664352,0.856593549252
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,tanh,False,True,0.0667730942369,0.972033798695,0.972952187061,0.987516760826,0.499487102032,0.880289435387,0.856971144676,0.908165574074
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,True,True,0.265097290277,0.953311502934,0.92045456171,0.925086081028,0.352031737566,0.911833465099,0.864933907986,0.881927192211
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,True,True,0.289307564497,0.948755502701,0.918619811535,0.927121520042,0.3604375422,0.912625908852,0.865084111691,0.88124859333
256,100,0.001,adam,26,10,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.118844173849,0.994472146034,0.984315812588,0.981749892235,0.363471210003,0.928976595402,0.858473539352,0.852069675922
256,100,0.001,adam,26,30,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.159832403064,0.994168817997,0.980439186096,0.976158499718,0.350379049778,0.938576757908,0.863581717014,0.850260138512
256,100,0.001,adam,26,40,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.215893164277,0.982650399208,0.974638938904,0.979007542133,0.365553557873,0.904641568661,0.864933907986,0.890522480011
256,100,0.001,adam,26,50,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.193765118718,0.994203686714,0.974491000175,0.967066407204,0.367790549994,0.944201588631,0.854867815971,0.830581307411
256,100,0.001,rmsprop,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.149205282331,0.99464827776,0.983161687851,0.979849874973,0.341941177845,0.938223004341,0.870793282986,0.862248361111
256,100,0.001,sgd,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.639287233353,0.661695063114,0.661695063114,1.0,0.63771045208,0.664212763309,0.664212763309,1.0
64,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.151547163725,0.972024798393,0.959043562412,0.965942621231,0.322510093451,0.905310750008,0.869494020939,0.897401452065
128,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.175291359425,0.976089477539,0.962417125702,0.966928839684,0.321254581213,0.916666686535,0.876652657986,0.895724952221
512,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.185245886445,0.992339968681,0.976177811623,0.971563756466,0.346761703491,0.941716253757,0.870943486691,0.858855485916
768,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.228029847145,0.993249118328,0.977775812149,0.973053872585,0.36767193675,0.931963741779,0.864095032215,0.85759884119
1024,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.17505197227,0.994261920452,0.988784313202,0.988809645176,0.361891508102,0.93345707655,0.869303405285,0.864473342896
256,100,0.001,adam,26,20,linear,tanh,12,40,sigmoid,softmax,False,True,0.641214966774,0.661831319332,0.661724686623,0.999642252922,0.639817357063,0.664061307907,0.663762032986,0.999321401119
256,100,0.001,adam,26,20,relu,tanh,12,40,sigmoid,softmax,False,True,0.637330591679,0.662050187588,0.662050187588,1.0,0.636625289917,0.664212763309,0.664212763309,1.0
256,100,0.001,adam,26,20,softmax,tanh,12,40,sigmoid,softmax,False,True,0.14270503819,0.98761177063,0.973928749561,0.972823143005,0.343571484089,0.918079078197,0.869441092014,0.882153332233
256,100,0.001,adam,26,20,tanh,tanh,12,40,sigmoid,softmax,False,True,0.116511784494,0.99057418108,0.978811562061,0.977287948132,0.336120963097,0.92670661211,0.87109375,0.875141382217
256,100,0.001,adam,26,20,sigmoid,relu,12,40,sigmoid,softmax,False,True,0.190747901797,0.978195011616,0.954723000526,0.952825963497,0.327550113201,0.925141215324,0.878455519676,0.888939142227
256,100,0.001,adam,26,20,sigmoid,linear,12,40,sigmoid,softmax,False,True,0.156373009086,0.9890422225,0.969371438026,0.964413464069,0.321375787258,0.955250024796,0.882962763309,0.864284098148
256,100,0.001,adam,26,20,sigmoid,sigmoid,12,40,sigmoid,softmax,False,True,0.308503627777,0.992759287357,0.933978438377,0.906905055046,0.413421660662,0.959143996239,0.832181513309,0.780592620373
256,100,0.001,adam,26,20,sigmoid,softmax,12,40,sigmoid,softmax,False,True,0.167825803161,0.984858155251,0.967211186886,0.965310692787,0.345131397247,0.924005687237,0.873948335648,0.882831931114
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,False,0.102549642324,0.964042186737,0.970851063728,0.992977261543,0.357708156109,0.863932728767,0.855769217014,0.929201543331
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,False,0.0884851515293,0.984885275364,0.976266562939,0.979159235954,0.37609565258,0.900254011154,0.856670677662,0.881927192211
256,100,0.001,adam,22,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.122299961746,0.992305934429,0.978101313114,0.974471330643,0.339945167303,0.942984640598,0.872746407986,0.8604388237
256,100,0.001,adam,30,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.212608724833,0.988567173481,0.960641562939,0.951509714127,0.357782393694,0.946405887604,0.863882184029,0.842795729637
256,100,0.001,adam,26,20,sigmoid,tanh,12,30,sigmoid,softmax,False,True,0.128518670797,0.991570591927,0.976532936096,0.97282075882,0.344979405403,0.936715066433,0.868689894676,0.8604388237
256,100,0.001,adam,26,20,sigmoid,tanh,12,34,sigmoid,softmax,False,True,0.176880255342,0.991280257702,0.968394875526,0.9606975317,0.340984642506,0.947712421417,0.870943486691,0.852748274803
256,100,0.001,adam,26,20,sigmoid,tanh,12,36,sigmoid,softmax,False,True,0.166371285915,0.988786041737,0.972597062588,0.969603478909,0.331269443035,0.931769192219,0.877704322338,0.880343794823
