batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,100,256,False,True,sigmoid,True,False,sigmoid,36,9,softmax,softmax,0,0,30,36,0.639271914959,0.663003563881,0.663003563881,1.0,0.644723594189,0.654000937939,0.654000937939,1.0
sgd,3,0.01,100,512,True,False,relu,False,False,sigmoid,36,3,softmax,relu,0.1,0.0001,30,26,0.616034448147,0.662994086742,0.663144767284,1.0,0.630187988281,0.65478515625,0.65478515625,1.0
sgd,3,0.01,100,1024,False,True,softmax,True,False,sigmoid,42,9,sigmoid,tanh,0,0.0001,40,28,0.639207780361,0.66296684742,0.66296684742,1.0,0.644653320312,0.65478515625,0.65478515625,1.0
sgd,3,0.01,100,512,False,True,relu,False,True,sigmoid,40,3,relu,sigmoid,0,0.001,30,34,1.05788433552,0.930765390396,0.908509016037,0.931293904781,1.20988965034,0.882838904858,0.843017578125,0.876584649086
sgd,3,0.1,100,128,True,False,tanh,False,True,sigmoid,26,6,relu,tanh,0,0.1,40,28,4134.671875,0.956521749496,0.344032377005,0.0109336171299,4134.66650391,0.91549295187,0.352982968092,0.0117647061124
sgd,3,0.1,100,1024,True,False,tanh,True,True,sigmoid,28,1,relu,sigmoid,0.001,0.001,20,32,1.09160411358,0.806474387646,0.772294223309,0.863481104374,1.10228061676,0.792378008366,0.759155273438,0.856636822224
rmsprop,3,0.001,100,1024,False,False,relu,True,True,sigmoid,40,12,relu,linear,0,0.001,40,36,8.11717414856,0.663324117661,0.663324117661,1.0,8.12064743042,0.65478515625,0.65478515625,1.0
adam,3,0.0005,100,256,True,True,tanh,True,False,sigmoid,36,9,tanh,softmax,0.0001,0,30,26,0.360892951488,0.98161226511,0.879823982716,0.834244906902,0.443107306957,0.948992967606,0.831557750702,0.784615397453
adam,3,0.01,100,128,False,False,sigmoid,True,True,sigmoid,24,12,tanh,sigmoid,0,0.001,50,32,21.7701072693,0.66255646944,0.66255646944,1.0,21.7840003967,0.654000937939,0.654000937939,1.0
rmsprop,3,0.01,100,512,True,True,relu,True,True,sigmoid,26,12,relu,relu,0.0001,0.001,50,26,8.60442638397,0.662744700909,0.662744700909,1.0,8.60929012299,0.65478515625,0.65478515625,1.0
sgd,3,0.1,100,128,False,True,relu,False,False,sigmoid,34,9,linear,sigmoid,0,0,50,32,0.31279745698,0.983718633652,0.869870126247,0.817210435867,0.3832693398,0.96706455946,0.84623581171,0.791855216026
rmsprop,3,0.0005,100,512,True,False,relu,True,True,sigmoid,36,9,linear,softmax,0.1,0.1,40,36,467.47467041,0.662391781807,0.662391781807,1.0,467.480102539,0.65478515625,0.65478515625,1.0
rmsprop,3,0.001,100,1024,False,False,softmax,False,True,sigmoid,30,9,relu,softmax,0.1,0,40,32,1.00899732113,0.663228869438,0.663228869438,1.0,1.01528692245,0.65478515625,0.65478515625,1.0
