optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,train_f1,val_f1
adam,3.0,0.1,100,256,True,True,softmax,True,True,sigmoid,40,6,relu,tanh,0.001,0.001,20,38,22.2153263092,0.0,0.506787896156,0.0,22.1999835968,0.0,0.51904296875,0.0,0.0,0.0
rmsprop,3.0,0.01,100,512,True,True,softmax,True,True,sigmoid,36,6,softmax,linear,0.01,0.0,60,38,1.18888950348,0.0,0.507268190384,0.0,1.18806612492,0.0,0.51904296875,0.0,0.0,0.0
sgd,3.0,0.01,100,1024,True,True,relu,True,True,sigmoid,38,3,softmax,softmax,0.0001,0.1,60,32,77.9443283081,0.500161767006,0.508007824421,0.715693414211,77.9443893433,0.489889711142,0.504720032215,0.721489012241,0.594226503705,0.59394433461
rmsprop,3.0,0.01,100,128,True,True,sigmoid,False,True,sigmoid,26,1,linear,relu,0.1,0.001,50,32,2.39465236664,0.344795525074,0.496524244547,0.0240051764995,2.39265036583,0.316666662693,0.506696403027,0.018824307248,0.0457962668188,0.0363000299914
rmsprop,3.0,0.01,100,256,True,True,softmax,True,True,sigmoid,30,9,sigmoid,tanh,0.0,0.0,60,26,0.446359097958,0.737028241158,0.794185459614,0.906158745289,0.626525878906,0.622869133949,0.671549499035,0.803722500801,0.84648519698,0.731715158745
rmsprop,3.0,0.001,100,128,False,True,sigmoid,False,False,sigmoid,32,3,relu,linear,0.001,0.0,20,32,0.683358550072,0.722265958786,0.525542080402,0.0594405606389,0.691625475883,0.570281147957,0.522799730301,0.0468956418335,0.10680151412,0.0860706619785
rmsprop,3.0,0.001,100,1024,True,False,tanh,False,True,sigmoid,36,3,softmax,sigmoid,0.001,0.01,60,34,118.180976868,0.699012756348,0.561621069908,0.191997349262,118.24471283,0.447826087475,0.50341796875,0.139424696565,0.286165396092,0.218370376845
sgd,3.0,0.001,100,512,True,False,tanh,False,False,sigmoid,28,6,sigmoid,linear,0.01,0.0001,30,36,0.669849812984,0.690786600113,0.591284573078,0.306831479073,0.682983398438,0.570878267288,0.548990905285,0.250761419535,0.404011752548,0.344270931009
sgd,3.0,0.01,100,256,True,False,relu,True,True,sigmoid,30,9,tanh,softmax,0.001,0.001,20,28,3.12171077728,0.527800858021,0.51796233654,0.206627681851,3.20697045326,0.440833330154,0.495930999517,0.179018616676,0.295409415446,0.26307410026
rmsprop,3.0,0.1,100,1024,False,True,tanh,False,True,sigmoid,38,15,linear,sigmoid,0.0,0.0001,40,34,5.09272623062,0.0,0.509125232697,0.0,5.09262895584,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.01,100,512,False,True,relu,True,False,sigmoid,34,9,softmax,softmax,0.0001,0.0001,50,30,0.692671000957,0.0,0.508965134621,0.0,0.692647278309,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.001,100,1536,False,False,softmax,True,False,sigmoid,44,12,relu,relu,0.0,0.1,60,26,0.693041980267,0.333333343267,0.509391248226,3.31763003487e-05,0.69287109375,0.0,0.51033526659,0.0,6.63482794798e-05,0.0
rmsprop,3.0,0.01,75,1024,False,True,relu,False,True,sigmoid,44,6,softmax,relu,0.0001,0.001,20,40,3.76224112511,0.0,0.509061217308,0.0,3.76221823692,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.001,100,1536,False,True,tanh,True,True,sigmoid,38,6,softmax,tanh,0.1,0.01,60,28,5.35093164444,0.0,0.509993493557,0.0,5.35093164444,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.1,100,1024,True,True,tanh,True,True,sigmoid,28,3,sigmoid,relu,0.01,0.01,60,28,6.17780590057,0.49284940958,0.503361940384,0.386433273554,6.1778178215,0.48217317462,0.496744781733,0.377659589052,0.437214764382,0.429093075014
sgd,3.0,0.001,75,1024,True,True,relu,False,True,sigmoid,40,1,tanh,softmax,0.1,0.1,40,30,2.31185054779,0.5,0.509269356728,0.000195739412447,2.3118751049,1.0,0.510498046875,0.000166223398992,0.000391328416484,0.000332338585133
