meier_load,use_residuals,use_bottleneck,residual_activation,reg_residual,reg_module,output_layer_activation,optimizer,num_modules,num_filters,module_output_activation,module_activation,learning_rate,l2_r,l1_r,filter_size,epochs,bottleneck_size,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
0.0,False,True,relu,False,False,sigmoid,sgd,1,32,relu,linear,0.001,0.0,0.01,32,50,40,64,0.693304359913,0.490216121495,0.494353,0.974183,0.815814,0.695970952511,0.0835336538462,0.075076,0.972441,0.286809,"[[  31 3043]
 [   7  247]]"
0.0,True,True,relu,False,False,sigmoid,rmsprop,1,80,relu,linear,0.0001,0.01,0.1,72,50,48,256,0.642339169979,0.638671875,0.642806,0.619577,0.624088,0.628339707851,0.651442307692,0.128689,0.61811,0.351073,"[[2011 1063]
 [  97  157]]"
0.0,True,True,relu,False,True,sigmoid,adam,1,72,relu,linear,0.0001,0.0,0.01,40,50,48,128,7.03057813644,0.498685747664,0.498686,1.0,0.832602,7.04319667816,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,False,True,relu,False,False,sigmoid,rmsprop,4,64,relu,linear,0.001,0.01,0.01,72,50,56,64,0.202329799533,0.920122663551,0.909675,0.932406,0.927769,0.338548481464,0.854266826923,0.32093,0.814961,0.623119,"[[2636  438]
 [  47  207]]"
0.0,True,False,relu,True,False,sigmoid,sgd,1,80,relu,relu,0.01,0.0,0.01,32,50,56,64,0.690879046917,0.566588785047,0.574641,0.503856,0.516582,0.688214838505,0.619290865385,0.093173,0.456693,0.256524,"[[1945 1129]
 [ 138  116]]"
0.0,True,True,relu,False,False,sigmoid,sgd,4,80,relu,linear,0.001,0.01,0.0,32,50,48,64,0.505824923515,0.761292834891,0.729306,0.829039,0.806968,0.594087123871,0.686298076923,0.170833,0.807087,0.462545,"[[2079  995]
 [  49  205]]"
0.0,True,True,tanh,False,True,sigmoid,rmsprop,1,56,relu,linear,0.001,0.0001,0.01,64,50,40,256,1.2274004221,0.498583984375,0.498584,1.0,0.832545,1.23117935658,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,True,False,relu,True,False,sigmoid,rmsprop,1,48,relu,relu,0.0001,0.0001,0.001,64,50,48,128,0.653724431992,0.61828271028,0.61026,0.649097,0.640939,0.663552820683,0.589543269231,0.116552,0.665354,0.34266,"[[1793 1281]
 [  85  169]]"
0.0,True,True,tanh,True,False,sigmoid,rmsprop,1,48,linear,relu,0.001,0.01,0.0,72,50,48,64,0.517336785793,0.75296923676,0.744144,0.769058,0.763943,0.529800117016,0.729567307692,0.18083,0.720472,0.451183,"[[2245  829]
 [  71  183]]"
0.0,True,True,relu,True,False,sigmoid,adam,1,88,relu,linear,0.0001,0.1,0.01,40,50,32,64,0.627622902393,0.662894275701,0.656058,0.681064,0.675911,0.632266163826,0.639723557692,0.129992,0.653543,0.361971,"[[1963 1111]
 [  88  166]]"
0.0,True,True,relu,False,False,sigmoid,adam,4,88,tanh,linear,0.0001,0.001,0.001,88,50,40,256,1.91559684277,0.504052734375,0.501329,0.997796,0.832843,3.60471177101,0.0871394230769,0.0769,0.996063,0.293776,"[[  37 3037]
 [   1  253]]"
0.0,True,False,relu,False,True,sigmoid,rmsprop,1,88,relu,linear,0.0001,0.1,0.1,32,50,32,64,3.7873737812,0.498685747664,0.498686,1.0,0.832602,3.79896450043,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
