batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
128,350,0.01,3,rmsprop,38,20,sigmoid,linear,6,32,sigmoid,softmax,True,False,0.3081201016902923,0.9698500633239746,0.8781960010528564,0.842587947845459,0.3573732376098633,0.9554715156555176,0.8539299368858337,0.8165500164031982
1024,300,0.01,3,rmsprop,32,50,linear,linear,6,26,sigmoid,softmax,False,True,0.6259007453918457,0.6631142497062683,0.6629430055618286,0.9992455244064332,0.6357492804527283,0.6596212387084961,0.6595458984375,0.9994446635246276
256,250,1e-05,3,rmsprop,34,40,softmax,softmax,6,26,sigmoid,relu,True,True,,,,,,,,
128,300,0.01,3,sgd,40,20,sigmoid,tanh,9,32,sigmoid,tanh,False,False,0.1964682191610336,0.9918760657310486,0.9215672612190248,0.8890277147293091,0.4616903364658355,0.947940230369568,0.8090672492980957,0.751750111579895
1024,200,0.001,3,rmsprop,26,30,relu,sigmoid,12,30,sigmoid,sigmoid,True,True,0.6389375329017639,0.6631335616111755,0.6631335616111755,1.0,0.6413780450820923,0.659423828125,0.659423828125,1.0
256,250,1e-05,3,adam,40,50,tanh,sigmoid,3,28,sigmoid,tanh,True,True,0.1397856771945953,0.9835200309753418,0.9787405133247375,0.9844329953193665,0.3258222937583923,0.896231472492218,0.8657670617103577,0.9007359743118286
128,250,0.1,3,adam,24,40,tanh,tanh,6,32,sigmoid,tanh,True,True,0.5516890287399292,0.6832190752029419,0.6872395873069763,0.9852216839790344,0.568819522857666,0.6744329929351807,0.673768937587738,0.9768443703651428
256,300,0.0001,3,sgd,32,30,linear,softmax,1,26,sigmoid,sigmoid,True,True,0.6440426707267761,0.6629734635353088,0.6629734635353088,1.0,0.6457319259643555,0.6594460010528564,0.6594460010528564,1.0
128,250,0.001,3,adam,40,20,linear,tanh,6,28,sigmoid,relu,True,False,1.4034411907196045,0.6629069447517395,0.6624526381492615,0.9988574981689452,1.4135254621505735,0.6593171954154968,0.6587358117103577,0.9983844757080078
256,300,0.1,3,adam,26,20,relu,linear,3,34,sigmoid,sigmoid,False,False,0.5126489996910095,0.9783331155776978,0.7049478888511658,0.5675415396690369,0.5214766263961792,0.972615361213684,0.7041903138160706,0.5674026012420654
512,250,0.0001,3,sgd,34,30,softmax,tanh,6,36,sigmoid,sigmoid,False,True,0.6308884024620056,0.6627915501594543,0.6627048254013062,0.9997844099998474,0.6343640089035034,0.6593406796455383,0.6591796875,0.9996297955513
128,200,0.1,3,sgd,26,20,sigmoid,sigmoid,1,32,sigmoid,sigmoid,False,True,0.3698397576808929,0.859441339969635,0.8295691013336182,0.8883654475212097,0.4431450664997101,0.8411775231361389,0.798768937587738,0.8565787076950073
1024,350,0.001,3,adam,34,30,linear,tanh,12,36,sigmoid,relu,False,False,0.9047237634658812,0.6679347157478333,0.6627762913703918,0.9774449467658995,0.9248815774917604,0.6638180017471313,0.6588134765625,0.9777860045433044
1024,350,0.0001,3,sgd,32,50,relu,linear,1,24,sigmoid,tanh,False,True,0.6856651306152344,0.6845756769180298,0.5701934099197388,0.6522848010063171,0.6839845180511475,0.6858134269714355,0.575927734375,0.65864497423172
128,200,1e-05,3,rmsprop,30,40,linear,softmax,12,34,sigmoid,relu,True,True,0.5097848773002625,0.9407353401184082,0.7679924368858337,0.6939685940742493,0.5316345691680908,0.9213343262672424,0.7412405014038086,0.664333164691925
1024,300,0.0001,3,sgd,40,30,relu,linear,1,40,sigmoid,relu,True,False,0.7436901330947876,0.5687863826751709,0.4201362431049347,0.5191623568534851,0.7509574890136719,0.5649179816246033,0.4188232421875,0.5162902474403381
256,250,0.0001,3,adam,30,50,tanh,linear,9,24,sigmoid,relu,True,False,0.2087064981460571,0.9731251001358032,0.9220644235610962,0.9075297117233276,0.5445414781570435,0.9056873917579652,0.8100141882896423,0.7946508526802063
128,350,0.01,3,rmsprop,24,40,linear,relu,6,40,sigmoid,relu,False,False,2.6821537017822266,0.6623231768608093,0.66015625,0.9945015907287598,2.6539671421051025,0.6592425107955933,0.6570786237716675,0.993537962436676
512,350,0.01,3,sgd,40,50,sigmoid,linear,12,28,sigmoid,sigmoid,True,True,0.6389518976211548,0.6632526516914368,0.6632526516914368,1.0,0.6414411664009094,0.659423828125,0.659423828125,1.0
256,300,0.001,3,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.1636095643043518,0.991971492767334,0.9784327745437622,0.9753535985946656,0.3221963942050934,0.9451444149017334,0.8842329382896423,0.8752468228340149
1024,200,0.0001,3,rmsprop,34,20,linear,softmax,6,40,sigmoid,relu,False,False,,,,,,,,
1024,300,0.0001,3,adam,34,30,sigmoid,sigmoid,1,28,sigmoid,relu,False,True,0.3105143308639526,0.9069788455963136,0.874082624912262,0.9026469588279724,0.4501030147075653,0.8421713709831238,0.7872721552848816,0.8315136432647705
512,300,0.01,3,rmsprop,38,40,linear,tanh,9,38,sigmoid,sigmoid,True,False,0.6890425682067871,0.8910186886787415,0.8058120012283325,0.8054662346839905,0.7430732250213623,0.8734970092773438,0.791917085647583,0.7984886765480042
512,350,0.1,3,adam,26,20,linear,tanh,1,30,sigmoid,softmax,False,True,0.5313400626182556,0.7965044379234314,0.7485203742980957,0.8330279588699341,0.537683367729187,0.7838248014450073,0.737229585647583,0.827799379825592
256,300,1e-05,3,adam,34,30,sigmoid,relu,6,30,sigmoid,tanh,False,True,0.254453957080841,0.9917718768119812,0.9075816869735718,0.8675786852836609,0.488891452550888,0.9300533533096312,0.7798978090286255,0.718571126461029
512,250,0.001,3,sgd,34,20,sigmoid,relu,9,30,sigmoid,sigmoid,True,True,0.6418371200561523,0.6618430614471436,0.6618430614471436,1.0,0.6450011134147644,0.6560997366905212,0.6560997366905212,1.0
1024,200,0.1,3,adam,28,50,softmax,sigmoid,6,30,sigmoid,tanh,True,False,0.6396055221557617,0.6622869372367859,0.6622869372367859,1.0,0.6437019109725952,0.6559244990348816,0.6559244990348816,1.0
256,200,0.01,3,adam,28,20,softmax,linear,12,28,sigmoid,sigmoid,False,False,0.6209513545036316,0.6620206236839294,0.6620206236839294,1.0,0.6270039677619934,0.6560997366905212,0.6560997366905212,1.0
1024,250,0.1,3,sgd,30,40,tanh,softmax,3,32,sigmoid,relu,False,True,0.4700546264648437,0.8533750176429749,0.8592270612716675,0.9509133696556092,0.5186598896980286,0.8261727094650269,0.8284505009651184,0.9352357387542723
1024,350,0.01,3,sgd,34,50,sigmoid,softmax,9,30,sigmoid,relu,False,True,0.2892428934574127,0.9711252450942992,0.9001538753509521,0.8751676678657532,0.3926502764225006,0.931239366531372,0.8401692509651184,0.8166252970695496
1024,200,0.001,3,sgd,40,40,relu,softmax,1,32,sigmoid,relu,True,False,0.6418638229370117,0.6621389389038086,0.6621389389038086,1.0,0.6451380848884583,0.6559244990348816,0.6559244990348816,1.0
1024,250,1e-05,3,sgd,36,30,linear,softmax,9,30,sigmoid,tanh,False,True,0.6939714550971985,0.6607524752616882,0.5030184388160706,0.5113834738731384,0.6951079368591309,0.6431575417518616,0.4881184995174408,0.4933002591133117
512,200,1e-05,3,adam,30,20,linear,softmax,3,34,sigmoid,relu,False,False,0.6467450261116028,0.6616911292076111,0.6613991260528564,0.9991503357887268,0.6500165462493896,0.6558880805969238,0.655348539352417,0.9986260533332824
128,200,0.01,3,adam,40,30,tanh,tanh,9,32,sigmoid,softmax,True,False,0.6397467255592346,0.6620798110961914,0.6620798110961914,1.0,0.643593430519104,0.6560997366905212,0.6560997366905212,1.0
1024,200,1e-05,3,rmsprop,28,30,softmax,softmax,1,26,sigmoid,softmax,False,True,0.6595408916473389,0.6648542881011963,0.6661931872367859,1.0,0.6635094285011292,0.655780553817749,0.6546223759651184,0.996526062488556
256,200,0.001,3,rmsprop,36,30,linear,softmax,3,26,sigmoid,softmax,False,True,0.6167067289352417,0.6631460189819336,0.6631746888160706,0.9987488985061646,0.6280076503753662,0.656184196472168,0.6557992696762085,0.9986260533332824
1024,250,0.01,3,rmsprop,32,30,relu,relu,12,34,sigmoid,sigmoid,False,False,1.4718780517578125,0.6624348759651184,0.6624348759651184,1.0,1.3506110906600952,0.6559244990348816,0.6559244990348816,1.0
512,300,0.001,3,adam,24,40,softmax,linear,9,26,sigmoid,tanh,False,True,0.6593579053878784,0.6625296473503113,0.662109375,0.9988835453987122,0.6703349351882935,0.6555254459381104,0.654296875,0.997023105621338
512,300,1e-05,3,rmsprop,30,30,relu,tanh,12,26,sigmoid,sigmoid,False,False,0.6832492351531982,0.7296202182769775,0.5624112486839294,0.5390733480453491,0.6821402907371521,0.7243609428405762,0.5628004670143127,0.53858482837677
128,300,0.0001,3,adam,38,40,linear,softmax,1,36,sigmoid,sigmoid,True,False,0.601743757724762,0.6624202132225037,0.658203125,0.987135410308838,0.6129690408706665,0.6541799902915955,0.6481370329856873,0.9837417006492616
1024,300,0.1,3,rmsprop,28,40,linear,tanh,1,36,sigmoid,relu,True,True,0.5155043601989746,0.7080846428871155,0.7005800008773804,0.9325591921806335,0.527352511882782,0.7016626000404358,0.6954752802848816,0.9320099353790284
512,200,0.01,3,rmsprop,26,50,softmax,sigmoid,3,32,sigmoid,tanh,True,False,0.6535937190055847,0.6626420617103577,0.6626420617103577,1.0,0.6605144739151001,0.6560997366905212,0.6560997366905212,1.0
512,250,1e-05,3,adam,30,20,sigmoid,linear,12,34,sigmoid,sigmoid,False,True,0.1226393207907676,0.9948135614395142,0.993045687675476,0.9946801662445068,0.4347112774848938,0.9049820303916932,0.8177584409713745,0.8069612979888916
512,300,0.01,3,sgd,40,20,softmax,sigmoid,3,32,sigmoid,sigmoid,False,False,0.6397072672843933,0.6619910001754761,0.6619910001754761,1.0,0.6436461806297302,0.6560997366905212,0.6560997366905212,1.0
512,300,1e-05,3,adam,34,20,sigmoid,tanh,9,40,sigmoid,softmax,True,False,0.6374495029449463,0.6615175008773804,0.6615175008773804,1.0,0.6408311128616333,0.6560997366905212,0.6560997366905212,1.0
1024,350,0.1,3,sgd,36,50,relu,linear,1,26,sigmoid,tanh,True,True,0.6152353286743164,0.6625248193740845,0.6619614362716675,0.998079001903534,0.6241600513458252,0.6551386713981628,0.6536458134651184,0.996526062488556
1024,350,0.001,3,rmsprop,34,40,tanh,softmax,6,28,sigmoid,sigmoid,True,True,0.6368251442909241,0.6617925763130188,0.6617838740348816,0.9998658299446106,0.6427183747291565,0.6556442379951477,0.6551106572151184,0.9987593293190002
128,350,0.0001,3,adam,26,20,relu,relu,1,24,sigmoid,softmax,True,True,0.1466994881629943,0.9739553928375244,0.9777461886405944,0.9929372668266296,0.3859829902648926,0.8708471059799194,0.8503605723381042,0.9063430428504944
1024,200,0.01,3,sgd,36,20,softmax,softmax,3,24,sigmoid,sigmoid,True,False,0.6393367052078247,0.6627012491226196,0.6627012491226196,1.0,0.64370197057724,0.6559244990348816,0.6559244990348816,1.0
